 	mia	sorella	quest'	anno	che	vienne	studierà	per	medico	</S>
i	0.9899065	0.009892741	0.00018286235	4.9606033e-06	5.42835e-06	3.7948687e-06	1.6960377e-06	7.4121965e-07	2.8354123e-07	1.0656007e-06
a	0.069553	0.9229748	0.0063751345	0.0006710165	0.00016522754	7.719571e-05	8.849402e-05	3.3965094e-05	2.1908589e-05	3.9257186e-05
d	0.19936424	0.76369846	0.035980605	0.00083798904	8.3924104e-05	2.1105872e-05	1.05150375e-05	2.5892928e-06	5.91227e-07	6.9254945e-08
e	0.64477944	0.24336505	0.095054545	0.016564636	0.00016124149	2.961382e-05	9.988937e-07	5.873339e-06	3.2798398e-05	5.805621e-06
r	0.0012897635	0.9852888	0.012830382	0.00033642043	0.00018471011	3.7225618e-05	3.0925377e-05	1.4376623e-06	1.7597137e-07	1.3320107e-07
f	0.5305767	0.18884768	0.27607295	0.0036242378	0.00043876935	0.0002519859	8.552777e-05	2.4632514e-05	1.617547e-05	6.131064e-05
ì	0.054187603	0.7328828	0.2009824	0.006185919	0.0043193223	0.0009531243	0.00034182763	0.000105195475	3.8184502e-05	3.6370793e-06
m	0.00065663544	0.20133632	0.7801328	0.008311078	0.006743983	0.0023779355	0.00030549619	2.4866218e-05	1.7605224e-06	0.00010921162
m	0.13949835	0.03863596	0.699694	0.10932379	0.010492236	0.0021477947	3.9841205e-05	1.8883367e-05	0.00014520632	3.9650527e-06
u	0.0099596605	0.7433741	0.2277893	0.018711364	0.00014873997	6.521748e-06	9.829312e-07	1.8946095e-06	7.32512e-06	1.3507282e-07
f	0.00012474804	0.0055014286	0.88367456	0.06831828	0.028579088	0.011055232	0.0018164492	0.00020423616	1.6553553e-05	0.0007093113
è	0.06617982	0.004289087	0.7996604	0.1263876	0.0029307783	0.00032818856	3.3950477e-05	2.6820846e-05	0.0001392579	2.411319e-05
t	5.321526e-05	0.0020957843	0.78826004	0.12397988	0.059515998	0.02193693	0.0031548312	0.0003556902	9.952435e-06	0.00063778646
i	0.018390292	0.0015245744	0.5963722	0.3285446	0.04755489	0.007145479	0.00013307654	9.213846e-05	0.0002378882	4.868703e-06
p	0.00015465602	0.0007967037	0.16568646	0.2349981	0.39821398	0.16934419	0.025616186	0.0024770843	6.2394385e-05	0.0026502116
ò	0.026036294	0.0019206584	0.1433026	0.75698185	0.06034699	0.00893351	0.0006196536	0.00040067866	0.00081560743	0.0006421
r	0.00015136745	0.00077480735	0.051525313	0.30320808	0.5032965	0.11007364	0.027998444	0.0026537734	8.601093e-05	0.00023203425
k	0.0017640191	9.869666e-05	0.049497563	0.35242504	0.47237504	0.11697366	0.002400662	0.00248768	0.001953731	2.3935443e-05
e	0.13069625	0.09770477	0.20395716	0.5229318	0.03410381	0.009441344	0.0008251517	0.0001678	0.00014606661	2.5742784e-05
t	6.0835868e-05	0.00024850093	0.0014615362	0.02390203	0.32688054	0.5345313	0.10183402	0.00868042	0.00011617347	0.0022846537
e	0.007989279	7.547622e-05	0.025974317	0.30372193	0.40955645	0.23992153	0.0047064256	0.003781512	0.0037442022	0.0005288912
e	0.00014447632	0.00064359413	0.002050148	0.013203883	0.19390717	0.5920403	0.17494638	0.02022647	0.0003540531	0.0024834499
n	0.0015674747	0.0036379334	0.0028716149	0.018659081	0.080192015	0.17283407	0.58638173	0.12224559	0.0060204775	0.005590021
a	0.0062360303	8.380794e-05	0.007601867	0.04838819	0.16864508	0.7014454	0.014726502	0.024999227	0.021955516	0.0059184567
