 	oggi	io	non	ho	cosa	da	fare	</S>
s	0.9972242	0.0020825393	0.00022249349	5.1355073e-05	0.0003024907	7.485585e-05	3.8704834e-06	3.8117036e-05
ì	0.8232164	0.17557259	0.00014797557	0.000183512	0.00015734967	3.6736055e-05	0.0006368835	4.861884e-05
m	0.8969882	0.083597414	0.014959266	0.0018073536	0.0023552326	0.00015926865	1.3170526e-05	0.00012003966
m	0.88049656	0.11369089	0.0006494489	0.0012324768	0.00020572402	9.648469e-06	0.0037121316	3.1795616e-06
e	0.004615895	0.9951515	8.95799e-05	5.8907488e-05	2.044811e-05	1.0975413e-06	6.241852e-05	1.4478407e-07
r	0.0024219113	0.7635644	0.16650099	0.020493545	0.03551221	0.0051790974	0.0002454319	0.006082454
i	0.9071123	0.08117065	0.006347626	0.0029033779	0.0016288119	7.355362e-05	0.00066705444	9.655247e-05
e	0.0002999499	0.13400011	0.59230494	0.1184761	0.13195524	0.011133149	0.000134437	0.011696034
v	0.00071164296	0.22179453	0.38398007	0.19164985	0.18932368	0.00913729	0.00024770532	0.0031552715
ò	0.17786965	0.06301774	0.06959426	0.1267814	0.017288689	0.015904553	0.4924891	0.03705461
e	0.0004983031	0.0068218457	0.2488923	0.27669162	0.4421178	0.018871326	0.0021886164	0.0039181197
n	0.0019677475	0.043802064	0.18185286	0.40247387	0.32912707	0.0304602	0.004698522	0.0056176214
è	0.00084366114	0.00018124445	0.00024472448	0.0006667907	0.0059758844	0.0025143283	0.97840756	0.011165797
c	0.00023824231	0.0037167186	0.035471603	0.07826885	0.78782463	0.07810257	0.012227198	0.0041501108
h	0.000966634	0.00114044	0.0031210068	0.0065880064	0.1404762	0.004418933	0.80226785	0.041020934
o	0.009462551	0.0050368994	0.003998873	0.0046226983	0.89340883	0.0060370606	0.077078156	0.00035488018
t	0.0005685618	0.0042223185	0.009498492	0.01760649	0.24422812	0.57934326	0.0706715	0.073861286
i	0.018571632	0.00034113662	0.007288131	0.013820336	0.10270136	0.01882723	0.80505174	0.033398367
k	0.0013313896	0.006813949	0.008753853	0.016813522	0.0610356	0.36408427	0.41998747	0.12118002
à	0.009235363	0.0006057479	0.008180218	0.007200463	0.0050688335	0.011700045	0.798904	0.15910536
m	0.0007430783	0.0023301071	0.0013458335	0.0026733591	0.002987258	0.04140574	0.90937173	0.03914282
i	0.0012825916	2.3405231e-05	0.0014928693	0.0026604417	0.0049928785	0.0023700658	0.979901	0.0072767776
</S>	0.0015078424	0.010074559	0.0056773527	0.0055252644	0.0030728788	0.018155707	0.24699838	0.70898795
