 	sto	ancora	cucinando	</S>
s	0.99864334	0.00090642914	2.547926e-05	0.00042478598
t	0.9943663	0.0027755331	0.0028505267	7.761902e-06
e	0.5251143	0.41825697	0.056602605	2.6115978e-05
a	0.28813767	0.68570286	0.0023594066	0.02380009
n	0.011675253	0.94611186	0.033747945	0.008465037
k	0.14482847	0.17245471	0.31897235	0.36374447
ò	0.9320176	0.026658237	0.039619982	0.0017041422
r	0.002928508	0.44604897	0.5318121	0.019210462
a	0.008919247	0.017517507	0.9354992	0.038064074
m	0.00047677278	0.015038664	0.44068468	0.54379994
a	0.017144963	0.023014098	0.9345361	0.02530479
r	6.223435e-05	0.004430094	0.892761	0.10274675
è	0.0027066795	0.0011412061	0.8378401	0.15831202
o	0.000103094855	0.0020074723	0.8628995	0.13498995
n	0.0036558225	0.00083953305	0.64748865	0.34801602
t	0.23269734	0.055862874	0.3510646	0.3603752
a	0.021032773	0.11686818	0.8225665	0.039532587
</S>	0.001019116	0.00521479	0.040317107	0.95344895
