 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.96199334	0.031357937	0.0064244815	1.8624243e-05	7.492354e-05	0.00010588326	6.5797317e-06	1.8314302e-05
ì	0.589111	0.040481783	0.36925685	0.00047300293	0.00040953243	7.0221475e-05	0.00018452948	1.3089811e-05
n	0.10644577	0.8252041	0.06581155	0.0010620479	0.0013197669	7.917154e-05	1.0005191e-05	6.757128e-05
i	0.76006836	0.053383905	0.18617433	0.00012331079	0.00023799922	1.7881265e-06	1.013811e-05	1.0342799e-07
e	0.0022938664	0.6996218	0.28340256	0.004586547	0.009411226	0.00038626042	3.3900353e-05	0.0002638828
n	0.016240995	0.526431	0.39416495	0.03066613	0.031030925	0.00051832746	3.4003784e-05	0.00091368036
è	0.11846748	0.0049981736	0.836202	0.008456289	0.011635651	0.004748024	0.015354387	0.00013799951
r	0.0005923063	0.015503488	0.9635712	0.0070975195	0.011210587	0.0019545448	3.4725796e-05	3.564931e-05
k	0.015294376	0.017320834	0.47909382	0.12105109	0.25787807	0.09277884	0.016450783	0.0001322495
o	0.2626514	0.0052441787	0.7174539	0.0026630382	0.011508731	0.00029993316	0.00017618814	2.566766e-06
t	0.00012569988	0.018937789	0.12347552	0.17138433	0.6275696	0.049559124	0.0005172728	0.008430668
t	0.0071775033	0.012549613	0.110356	0.24069487	0.44532952	0.15649265	0.02454136	0.0028584872
e	0.00705042	0.029255288	0.1777202	0.055288974	0.6393368	0.07706584	0.014255986	2.6441092e-05
e	6.3081694e-05	0.0021233368	0.01003512	0.10610187	0.7685727	0.100112654	0.00095492956	0.01203634
t	0.009948034	0.0016190105	0.013854603	0.30441412	0.5054414	0.13497809	0.020260999	0.009483673
u	0.0010881484	0.004643754	0.0029224749	0.018721107	0.31785518	0.62360847	0.025473196	0.005687696
s	0.00048863323	0.0006259947	0.0031585912	0.020953925	0.3875469	0.55131745	0.027149219	0.008759334
m	0.0012903523	0.0022472937	0.0007344847	0.0060077584	0.14342868	0.78841144	0.042501062	0.015378977
è	4.5003275e-05	0.00021348563	0.00037828658	0.0012822839	0.16309541	0.8153387	0.01902431	0.00062260724
n	0.0012545272	0.00075104984	0.0036524548	0.020863451	0.22711289	0.51790625	0.067157544	0.16130182
o	0.0047731223	0.032875117	0.058249768	0.0091487765	0.61559355	0.094425075	0.18274996	0.002184653
m	0.0012755503	0.002518139	0.0036805635	0.0035702002	0.011901769	0.45888758	0.3856183	0.13254793
e	0.013749887	0.0020891654	0.0011813053	0.0027577458	0.05409305	0.70636815	0.18709885	0.032661814
t	0.0007440614	0.0005858284	0.0022148872	0.002646696	0.0044253785	0.21852978	0.5939314	0.17692207
r	0.007544512	0.00073751324	0.00018449784	0.0025347692	0.0048630037	0.56639236	0.24081801	0.1769253
ò	0.00014620133	0.00030462458	0.00034505027	0.00583211	0.006777177	0.15338816	0.8071765	0.026030224
m	0.00057322625	0.0003290277	0.0008209662	0.0005127862	0.00028432155	0.01918826	0.83799994	0.1402915
e	0.00016020364	7.602523e-05	5.0013816e-05	0.00028380405	0.0017257935	0.016644798	0.97898966	0.0020697103
</S>	0.0018207044	0.0015780224	0.0066690412	0.0015051549	0.00093762955	0.012122326	0.3098182	0.6655489
