 	vuole	pianto	</S>
i	0.99108607	0.004493281	0.004420688
t	0.9872018	0.0033961348	0.009402084
è	0.98872	0.009590166	0.0016897704
l	0.79476887	0.19542383	0.009807316
i	0.99286073	0.006679726	0.00045944034
k	0.0134518575	0.78639895	0.20014913
l	0.7522815	0.20624939	0.041469194
a	0.11708839	0.87784225	0.0050693103
m	0.0005783016	0.4629993	0.5364224
m	0.11868285	0.62016517	0.26115197
è	0.012525412	0.9628589	0.024615604
n	4.695614e-05	0.04139164	0.9585614
o	0.77018905	0.14137389	0.08843703
</S>	0.00050755264	0.00628628	0.99320614
