 	era	molto	stanco	</S>
ì	0.95708406	0.03674796	0.0036168676	0.0025510995
o	0.96830475	0.031177707	0.00049351447	2.409802e-05
n	0.991905	0.00791355	0.00017749962	4.031288e-06
e	0.27044216	0.6350354	0.09395526	0.0005671422
p	0.49043658	0.48021507	0.024442432	0.0049058483
o	0.17807417	0.41702476	0.40417382	0.0007272776
d	0.15078914	0.66400045	0.17434357	0.0108667975
d	0.09118879	0.30586377	0.60141516	0.0015323285
h	0.010154059	0.7835233	0.2050446	0.0012780789
ì	0.0020227227	0.765852	0.2319665	0.00015886778
s	0.0013999592	0.12432647	0.79921776	0.07505579
t	0.047441974	0.29947498	0.65086937	0.0022137342
r	0.04694286	0.65626764	0.27387953	0.022909911
à	0.022641232	0.109326996	0.86119515	0.006836614
k	0.0004234794	0.001578913	0.15504046	0.84295714
k	0.0006347652	0.02602933	0.9623774	0.010958448
o	0.046080835	0.044512186	0.7401395	0.16926749
</S>	0.00075970305	0.00024013103	0.11934677	0.8796534
