 	non	ha	che	li	aspettiamo	</S>
e	0.7518836	0.2090061	0.030909475	0.007477269	0.00037526444	0.00034825114
n	0.32660237	0.5798443	0.06742499	0.020341922	0.0020368544	0.003749587
è	0.02937977	0.64988214	0.2882204	0.0110783065	0.019941429	0.0014978725
n	0.03141458	0.64255965	0.27827758	0.047526013	0.00020825981	1.3942175e-05
a	0.11618436	0.3811797	0.13395214	0.044689994	0.25503704	0.06895673
t	0.00885737	0.057061855	0.43272486	0.49520868	0.0041241185	0.0020232517
u	0.03143755	0.08671316	0.58167267	0.23649877	0.062403142	0.0012746379
s	0.0005978833	0.002885499	0.05884061	0.88617724	0.032703888	0.018794853
m	0.04009262	0.01977571	0.028341439	0.19380035	0.69954276	0.018447138
ì	0.00018051369	0.0036570972	0.023284053	0.9386441	0.034066916	0.00016729564
n	0.000544708	0.0023514729	0.00789796	0.4414149	0.13581116	0.41197973
o	0.10704077	0.29246956	0.13161695	0.33363774	0.12784691	0.0073879897
m	0.0018068174	0.0036332952	0.002091926	0.028974596	0.6788068	0.28468663
e	0.009357798	0.014829285	0.031022139	0.17634682	0.63770807	0.1307359
</S>	0.00031454075	0.0010594643	0.0010655491	0.011564755	0.6638899	0.32210582
