 	è	che	è	entrato	da	qui	</S>
è	0.78065485	0.19324921	0.018593824	0.005399018	0.0019358594	1.325908e-05	0.00015387882
n	0.01907343	0.80395764	0.08652346	0.08407342	0.0059358464	0.0001157201	0.00032054563
a	0.15391627	0.15035582	0.14030711	0.17457074	0.008190869	0.34488368	0.027775416
m	0.006389121	0.3397236	0.4164437	0.20099725	0.033301026	0.0011503714	0.0019949246
b	0.041660313	0.10926428	0.033174135	0.81419116	0.00026515385	0.0013600297	8.499197e-05
ì	0.0013816874	0.034325797	0.0044786786	0.952551	0.0018734394	0.0053861877	3.303087e-06
k	0.0006490267	0.010006135	0.19434749	0.11993938	0.5745405	0.0007380412	0.099779435
e	0.17194527	0.03519145	0.025546571	0.68561244	0.014206114	0.06669204	0.0008060173
a	0.0019406088	0.0038997952	0.0119426735	0.13725984	0.73657984	0.032393813	0.07598342
p	0.007818678	0.0022823883	0.004591273	0.35653973	0.22737499	0.3477975	0.05359548
ò	0.36496937	0.042969454	0.039964683	0.32235155	0.013552642	0.12024307	0.095949166
t	0.005386801	0.004098457	0.002138355	0.009008591	0.06835892	0.041986622	0.8690222
t	0.06590418	0.01899642	0.011859386	0.122750506	0.07670261	0.68688273	0.016904203
u	0.037371162	0.019296493	0.00075991417	0.0048429123	0.0033281802	0.9268746	0.0075267064
</S>	0.004765801	0.008110009	0.0033487913	0.018494174	0.033724815	0.074437514	0.8571189
