 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.9642099	0.034258325	0.0013899002	0.00012870698	6.6070925e-06	2.1376654e-06	4.0807785e-07	4.041809e-06
ù	0.9452077	0.054182023	0.0005740779	3.3021064e-05	1.4952553e-06	7.50925e-07	2.291776e-07	7.1361137e-07
t	0.75582546	0.22779994	0.01547507	0.0008727364	1.9098306e-05	2.1760306e-06	6.3432907e-07	4.8523e-06
t	0.7559425	0.22194952	0.021573102	0.0005073761	2.4630768e-05	2.546835e-06	2.202189e-07	7.923178e-08
o	0.7127616	0.28304097	0.0041100387	8.6171465e-05	7.7712866e-07	1.3101558e-07	3.8668256e-07	2.3941151e-08
s	0.0053235395	0.6356567	0.3384553	0.019510536	0.0005111516	5.3623968e-05	1.2527437e-05	0.00047658314
p	0.028875131	0.94055015	0.029944774	0.0006104994	1.1040693e-05	1.9841705e-06	6.0906325e-07	5.6710364e-06
ì	0.013967144	0.9262996	0.05865039	0.0010712852	4.0018135e-06	3.574857e-06	3.9206934e-06	1.5875145e-07
t	0.00019816583	0.28934762	0.61660403	0.09047531	0.002115834	0.00014795821	1.3559674e-05	0.0010975013
i	0.0011898577	0.5556846	0.4248373	0.018101739	0.00017221783	1.3479768e-05	6.230883e-07	2.3116047e-07
t	2.6592113e-05	0.015475023	0.6677439	0.3036525	0.011333338	0.0006766316	1.7133108e-05	0.0010748808
o	0.0010489977	0.3700023	0.48898283	0.13695198	0.0021842776	0.0001963107	1.1230848e-05	0.0006220793
f	1.8716953e-05	0.0073852823	0.4263468	0.5398512	0.024561428	0.0012680817	1.1592255e-05	0.000556953
a	0.0015988159	0.046547305	0.34211555	0.58937174	0.016545665	0.0016924168	3.5595407e-05	0.0020929512
b	5.908569e-05	0.0016433838	0.117037766	0.803318	0.069762625	0.007494905	0.00013391039	0.00055038295
b	0.0002915048	0.0044311536	0.13718797	0.82097936	0.033181608	0.002200551	2.3251341e-05	0.0017045944
r	0.00026533633	0.0103048505	0.12755764	0.84202176	0.016877646	0.0029176937	2.4715431e-05	3.040125e-05
i	0.0017099603	0.030932331	0.15938477	0.77983665	0.026564773	0.0014023778	3.2174397e-05	0.00013690045
k	1.656492e-05	6.647665e-05	0.0023158516	0.51803875	0.4448048	0.029677346	0.00016965275	0.004910566
è	0.000121144	0.00080827664	0.022275398	0.86387783	0.10228172	0.010191707	6.139484e-05	0.00038259453
t	3.381629e-05	0.00019665362	0.0013657304	0.33904412	0.5805146	0.074575335	0.0004241335	0.0038455722
s	3.9925108e-05	0.00023589446	0.010827412	0.45538247	0.5145294	0.01884167	0.00013320218	9.975682e-06
a	0.026422638	0.0072347787	0.021340577	0.7464585	0.18470752	0.013489741	0.0002689218	7.726327e-05
n	6.063321e-05	0.00012225291	0.0002759316	0.01058989	0.83741057	0.1409691	0.0007338449	0.009837839
o	0.00086496864	0.0011512756	0.012107007	0.16538402	0.7679901	0.051872093	0.00020790938	0.00042261175
p	0.00029540047	0.00051938376	0.00054943515	0.0044162334	0.71408296	0.26088533	0.011257964	0.007993354
e	0.001711775	0.0010128302	0.007238319	0.03351911	0.81456465	0.13624586	0.00083537935	0.0048721116
t	0.001975976	0.0021367697	0.00095255894	0.002825506	0.6344494	0.30183002	0.04738848	0.008441254
t	0.00039435067	0.0004418388	0.00043121446	0.015860764	0.7033998	0.27068195	0.0057312935	0.0030587967
ì	0.0016176102	0.0037707696	0.0009192124	0.008089155	0.32120866	0.6626594	0.00057280663	0.0011624222
n	0.002479614	0.0031905822	0.00062792597	0.0016124942	0.48058355	0.42831033	0.012653589	0.07054191
t	0.00045853024	0.00016138032	0.0016643824	0.007812388	0.38442445	0.5967583	0.007152684	0.0015678398
a	0.009794481	0.0043865396	0.0075196363	0.032988776	0.75384057	0.18979728	0.001049728	0.0006230612
c	0.007686765	0.0057528266	0.0011753283	0.0011551648	0.12457745	0.47704938	0.04300523	0.3395978
h	0.011256092	0.005733245	0.008722393	0.013675624	0.22936799	0.7018225	0.004304936	0.025117295
r	0.0011545843	0.005130549	0.0015967999	0.006555573	0.1108891	0.87237716	0.0019545567	0.0003417293
ò	0.0026378667	0.005861174	0.0018917168	0.0126534905	0.16523845	0.7792713	0.027795846	0.004650136
n	0.009158189	0.009302251	0.0018641958	0.0016466884	0.030101648	0.29534736	0.352231	0.3003487
u	0.0004673762	0.00018790129	0.0007269321	0.0014659197	0.05250807	0.9031989	0.038403746	0.0030411256
a	0.0043628863	0.00506226	0.002925894	0.0021498543	0.011387354	0.13228418	0.3793466	0.462481
m	0.054337814	0.0062076803	0.0016000019	0.0005518098	0.0017985855	0.023215584	0.7408618	0.17142676
p	0.008010662	0.005542728	0.0014140339	0.0026959595	0.060081273	0.6912327	0.073210046	0.15781261
ì	0.0051340144	0.0062872907	0.002574498	0.009442078	0.03856273	0.8692936	0.012836376	0.0558695
</S>	0.008435461	0.010379027	0.0024810382	0.0034600762	0.0024201272	0.028643092	0.43062162	0.5135595
