 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.87915975	0.11562388	0.0047005164	0.00020736635	0.00016894833	4.4504166e-05	1.1553839e-05	8.354509e-05
a	0.6650757	0.2524769	0.06684987	0.011661299	0.00052793307	0.00030039338	0.002999388	0.00010846686
n	0.83088595	0.15737796	0.011242861	0.00043943152	3.3916116e-05	4.9121504e-06	3.4913708e-06	1.1521629e-05
è	0.6435022	0.3279125	0.027461026	0.0009388987	9.3101706e-05	1.6183034e-05	5.505367e-05	2.1041677e-05
n	0.1802874	0.74083394	0.076736845	0.0015209632	0.00056074903	5.092633e-05	3.7848429e-06	5.2873734e-06
a	0.041727137	0.80903125	0.093329206	0.04964595	0.0020511078	0.0001131696	0.0040971544	5.0998074e-06
s	0.07246389	0.84845734	0.076685436	0.0017788736	0.00049781025	5.446157e-05	1.1584936e-05	5.0603336e-05
t	0.0179894	0.53790754	0.3541418	0.08121259	0.0041316296	0.00012084684	0.004141942	0.00035427653
o	0.0323497	0.58630633	0.3561643	0.024747705	0.0001681537	6.320515e-05	0.00019920758	1.3845394e-06
t	0.01318739	0.27703235	0.6570559	0.044234775	0.0070404066	0.00048833486	2.932368e-05	0.00093153905
e	0.0022827953	0.14947718	0.69132286	0.15126039	0.003661968	0.00017550008	0.0013939239	0.0004253326
l	0.0062823887	0.08168621	0.7811259	0.11159431	0.01747017	0.0011705657	3.6332236e-05	0.0006340584
è	0.0018550616	0.020797174	0.628079	0.33099315	0.014093067	0.001083695	0.0019774637	0.0011214195
f	0.004762941	0.01445891	0.5939085	0.31263876	0.06469416	0.008120511	0.00021125577	0.001204901
o	0.0019103461	0.025746323	0.2194261	0.6580947	0.08660285	0.0016055638	0.0065941988	1.9960631e-05
n	0.0071122637	0.0015436683	0.07556873	0.55148226	0.31981394	0.036770653	0.00087957457	0.0068289256
o	0.0013189358	0.004459658	0.096632294	0.8148228	0.07447657	0.002140609	0.0056413165	0.0005077986
t	0.0013374479	0.0002513748	0.011906002	0.6280997	0.28741652	0.06612124	0.0022163542	0.0026513007
è	0.0011402351	0.0012501428	0.035928447	0.73387474	0.2016601	0.012162814	0.011407545	0.0025759435
l	0.0011585985	0.00013271841	0.0053549553	0.3953199	0.46558836	0.1249531	0.0037354408	0.0037568028
i	0.0028529193	0.0015472064	0.008903308	0.21398151	0.70954084	0.035625797	0.027520481	2.7953247e-05
n	0.00046257125	0.000103173596	0.0008533283	0.02402038	0.654867	0.2948793	0.0055336035	0.019280674
a	0.0057027065	0.0028426906	0.017167334	0.12199834	0.72846556	0.062007826	0.060769904	0.0010457131
t	0.00020819051	0.00012706452	0.0012508621	0.013228701	0.33403894	0.59301853	0.04187301	0.016254643
s	0.0020723678	0.00050137244	0.004791097	0.04204076	0.591478	0.24715397	0.10486387	0.007098646
è	0.0031658623	0.0002033503	0.0025355828	0.010188312	0.3468153	0.62340635	0.01173797	0.0019472772
r	0.0001716024	0.00013748775	0.0021286062	0.0060797124	0.12641267	0.65660244	0.13404715	0.074420325
i	0.0048636603	0.0010239535	0.0048211077	0.014459468	0.29207912	0.16297284	0.5189446	0.0008351955
à	0.00043578225	0.00027606677	0.0023834056	0.0029727337	0.02544691	0.59048057	0.14378448	0.2342201
t	6.1063336e-05	0.00017772029	0.0027303214	0.0017309447	0.005654733	0.13016097	0.7390843	0.12039996
t	0.0037850616	0.001858378	0.004787648	0.011424992	0.07580385	0.111355714	0.7898717	0.0011125609
i	0.0010427143	0.012852777	0.046130814	0.030933563	0.024435533	0.06250113	0.8035706	0.01853284
n	0.000201056	0.00022056594	0.0023815385	0.002576794	0.0014612969	0.02106222	0.18541332	0.7866832
A	0.0011747939	0.0011040226	0.0017854482	0.0019019495	0.005601682	0.0049240296	0.9693877	0.014120522
n	0.00013891881	0.00028708013	0.0037943935	0.002662734	0.0022205347	0.0595811	0.7937225	0.13759273
n	0.0010270003	0.0054889666	0.01130044	0.0033795552	0.0003829463	0.0004302051	0.3269657	0.6510252
a	0.0010525809	0.002353576	0.0009604746	8.754834e-05	0.00013050239	6.0864983e-05	0.10933055	0.88602394
</S>	0.00015885996	0.00025209246	0.002560593	0.0024331198	0.00060438266	0.003955144	0.05112477	0.9389111
