 	forse	non	li	ha	a	casa	</S>
f	0.9991221	0.00031948613	0.00044345792	3.0437226e-05	6.487698e-05	3.101599e-06	1.653097e-05
ò	0.9992894	0.00014474825	0.00036133148	0.00010788995	1.6566933e-05	7.3889714e-05	6.2440095e-06
r	0.8944083	0.05023927	0.053935952	0.0009960765	0.0002412782	3.375173e-05	0.0001454495
s	0.8747321	0.046953455	0.0702147	0.0067102895	0.00052305486	0.00085861725	7.78173e-06
i	0.9384249	0.03827103	0.020793295	0.002452584	3.3376935e-05	2.3971388e-05	9.225867e-07
e	0.0021612858	0.21959566	0.7388077	0.020747581	0.006959292	0.0003798976	0.011348621
t	0.0734791	0.33054772	0.3741827	0.18931367	0.016969321	0.0019171978	0.01359036
u	0.06565021	0.11450883	0.5780107	0.1587298	0.040427595	0.033823382	0.0088495985
s	0.0035391706	0.037197307	0.7328543	0.17823313	0.038925614	0.0030817527	0.0061687184
è	0.038305983	0.028494587	0.22109243	0.38839287	0.16107129	0.12880138	0.033841513
c	0.0053875977	0.01896201	0.33036527	0.46854752	0.14173125	0.02234031	0.012666081
h	0.0381593	0.018272148	0.09814097	0.4532947	0.18388371	0.19898956	0.009259613
i	0.2906172	0.03097932	0.099584006	0.48330513	0.052408915	0.04263731	0.0004682176
è	0.0042976374	0.0067247036	0.0096935425	0.2663727	0.53963524	0.07387766	0.099398516
s	0.101630464	0.011759355	0.005147084	0.23501779	0.3628584	0.23231873	0.051268183
s	0.07856993	0.098811716	0.09342551	0.16786969	0.08535093	0.473035	0.0029372543
u	0.32213283	0.32324052	0.026165575	0.08085711	0.028083889	0.20444252	0.015077535
</S>	0.02768824	0.009971617	0.0038444705	0.01777255	0.07282132	0.14957923	0.7183225
