 	possono	essere	ancora	svegli	</S>
i	0.99837035	0.0015776654	1.6031716e-05	8.518917e-07	3.5130313e-05
s	0.95233256	0.04463087	0.00090975646	0.0016442139	0.0004826216
ò	0.8267482	0.17296594	0.00025302471	2.0363843e-06	3.0821102e-05
z	0.78439647	0.19865462	0.01108212	0.0051965504	0.0006701717
o	0.18004313	0.81844264	0.0014212881	3.6378482e-05	5.6539648e-05
n	0.044842653	0.61069494	0.2083703	0.065041535	0.0710506
e	0.08661621	0.9074467	0.0048642163	4.443841e-05	0.0010282752
ì	0.0049212873	0.26320976	0.34675094	0.36906683	0.016051205
n	0.0072118538	0.12498094	0.37358966	0.48487964	0.009337769
e	0.17039621	0.344926	0.36363423	0.011605897	0.10943762
a	0.0005445015	0.0014174359	0.17877427	0.80469507	0.014568782
n	0.011444316	0.0011909055	0.46338034	0.49976832	0.024216173
k	0.1507278	0.03120801	0.0037310442	0.0015578341	0.8127754
ò	0.1791207	0.107788004	0.13951078	0.35831198	0.21526858
r	0.0036721525	0.00015965098	0.028489295	0.9631782	0.004500681
a	0.003873853	0.0015335667	0.019966843	0.5392274	0.43539828
a	0.0035625035	0.0004694746	0.0057406067	0.87146366	0.11876375
t	0.055608377	0.0011558266	0.0052376837	0.6922799	0.2457182
s	0.031114822	0.0013354181	0.007908918	0.016785419	0.9428554
ù	0.30428588	0.007987457	0.24266313	0.041528497	0.40353507
n	0.038342174	0.0026390566	0.011411952	0.3695499	0.57805693
n	0.052534554	0.0029915948	0.08238907	0.0040415893	0.8580432
i	0.29953146	0.04056154	0.5626747	0.0064266357	0.09080559
t	0.04417429	0.0056321817	0.011498578	0.071713716	0.86698127
i	0.5251549	0.052703887	0.023040636	0.0031520936	0.39594847
</S>	0.095710926	0.008173193	0.014403441	0.07253428	0.8091782
