 	lo	sentii	che	viene	</S>
t	0.95672274	0.010639314	0.032176577	3.8742186e-05	0.00042264565
o	0.95602185	0.005809774	0.0060623353	0.03186323	0.00024270984
n	0.1534845	0.6476996	0.19501454	0.0014852985	0.002316043
ì	0.008912516	0.008093862	0.9489035	0.033423245	0.0006668673
k	0.0115527725	0.24446236	0.72882444	0.014881351	0.00027910862
u	0.71253157	0.00091319263	0.26060277	0.025630375	0.00032209174
s	0.0014457203	0.06187297	0.8884797	0.044221662	0.003979917
a	0.016779559	0.00029234917	0.0025738103	0.9670046	0.013349716
n	0.0002513623	0.04212896	0.066428065	0.21769531	0.6734963
a	0.04995922	0.0013718955	0.0460434	0.8355771	0.06704836
r	6.261107e-05	0.004346486	0.002331711	0.8562148	0.13704433
t	0.00035602457	0.00019054886	0.0052206353	0.0737717	0.92046106
i	0.00091083423	0.019889053	0.56855476	0.1883936	0.22225179
</S>	4.628757e-05	0.0034098888	0.0023651775	0.24384524	0.75033337
