 	non	ci	dimentichiamo	mai	</S>
e	0.74076724	0.2579334	0.00066826656	5.6600093e-05	0.0005744362
n	0.41414955	0.5474266	0.019530268	0.0019852235	0.016908374
è	0.5124862	0.46464282	0.00059769576	0.0002897681	0.021983491
n	0.8073245	0.19249381	0.0001436606	3.6943377e-06	3.433469e-05
a	0.39828593	0.32803592	0.02610635	0.038304176	0.20926765
a	0.0045072176	0.99385816	0.001122169	6.446787e-05	0.0004479105
l	0.009268963	0.8628541	0.053894512	0.0054216925	0.06856077
l	0.0039775143	0.98683745	0.00093266345	7.104073e-05	0.008181282
i	0.013115503	0.9855553	0.00096334424	3.1317337e-05	0.00033447717
m	0.0009476447	0.52679175	0.28948948	0.060070664	0.122700445
o	0.003935733	0.96829045	0.0029644028	0.00013193095	0.02467736
n	0.00019712686	0.12283859	0.51065356	0.20503297	0.16127773
i	0.13511813	0.54051054	0.04605103	0.016261904	0.26205847
s	0.0018743221	0.028038194	0.5112234	0.22127151	0.23759255
t	0.006434898	0.36938354	0.02792324	0.0042931833	0.59196514
ù	0.027192753	0.6605261	0.09631766	0.03029508	0.18566847
m	5.780269e-05	0.0058287308	0.2107447	0.5401427	0.24322607
e	0.19708666	0.0037769987	0.040185407	0.005422975	0.753528
s	0.00024104772	0.0118910745	0.095749095	0.5831715	0.30894735
t	0.0010838995	0.0054763937	0.002907943	0.0037216842	0.9868101
a	0.009959003	0.071316615	0.040220212	0.044929627	0.83357453
m	5.204647e-05	0.0064425697	0.022569062	0.6450252	0.3259111
à	0.00093835394	0.004690119	0.004555195	0.007953957	0.98186237
i	3.5620713e-05	0.0043602786	0.019605355	0.68843925	0.28755957
</S>	0.004977312	0.00855089	0.012482431	0.40572938	0.56825995
