 	mi	si	gonfiò	il	dito	</S>
m	0.39439192	0.23986414	0.35267732	0.012863802	0.00011337333	8.942392e-05
u	0.000393375	0.99286836	0.004666486	0.0011460728	0.0009234964	2.2818085e-06
p	0.12749125	0.12186889	0.7355638	0.014617826	0.00039990954	5.8350313e-05
r	0.001314669	0.8989747	0.029720008	0.008116244	0.06175533	0.00011907718
ì	0.0029348768	0.1186001	0.32195958	0.42276376	0.1337331	8.600793e-06
s	0.029001376	0.014527423	0.8021895	0.15341961	0.0005711186	0.00029099753
t	0.0009387185	0.012460076	0.554745	0.43038476	0.001463816	7.5926996e-06
i	0.00018000964	0.62827474	0.04959726	0.2653167	0.05659082	4.0630817e-05
t	0.007008109	0.0012890727	0.5140128	0.45203024	0.006848179	0.018811598
o	0.0017552321	0.00240012	0.7591745	0.21934125	0.016841544	0.00048730135
d	0.0033685544	0.002098243	0.07147663	0.8457432	0.032177262	0.0451361
à	0.02039353	0.0113327755	0.06737003	0.5970322	0.30023324	0.0036382435
t	0.0014935341	0.0028921894	0.0054233675	0.83984584	0.13891678	0.011428265
t	0.0013900726	0.0002634504	0.010794654	0.9610657	0.026324397	0.000161767
i	8.688486e-05	0.006085226	0.00090491166	0.13356031	0.8572829	0.0020797888
l	0.0042269337	0.011479535	0.0020629035	0.13084698	0.30806175	0.54332185
o	0.014933312	0.005723252	0.018372372	0.26584163	0.6746572	0.020472243
</S>	0.0031353564	0.01800214	0.00070691964	0.04153517	0.62730217	0.3093183
