 	l'	ho	sentito	che	veniva	</S>
o	0.8967418	0.05675295	0.044953223	0.0010309683	0.00024453102	0.0002765356
n	0.1350436	0.23600905	0.62322587	0.0030643283	0.0013857945	0.0012713437
ì	0.012588299	0.016444547	0.0325069	0.0011740675	0.9366676	0.00061855506
k	0.015828902	0.15398017	0.7332373	0.0553012	0.041627284	2.5199502e-05
u	0.590319	0.03719321	0.2077779	0.03342255	0.13117623	0.00011112829
s	0.0018408948	0.04019589	0.8656887	0.053844977	0.038032524	0.0003970215
a	0.009981123	0.00069131644	0.00249311	0.006489005	0.978647	0.0016984048
k	0.0009646991	0.03633829	0.04883695	0.59258646	0.19654036	0.12473321
a	0.0039014872	0.005853308	0.00013127734	0.02065839	0.9605794	0.00887611
è	0.0002679581	0.0037677134	0.0031776747	0.13255075	0.70678973	0.15344618
r	0.00014741183	0.0004949825	0.00039940228	0.016586931	0.95989424	0.02247703
k	0.004597956	0.0115484055	0.0014663344	0.008162198	0.96294194	0.011283238
a	0.0016265697	0.0046541844	8.438069e-05	0.0028601633	0.99041873	0.000356022
t	0.00041403115	0.0023266145	0.00066672254	0.0046626725	0.36689094	0.62503904
o	0.007170594	0.011524665	0.0006041822	0.005922762	0.8998706	0.07490716
</S>	0.00042294152	0.001912521	0.0006603989	0.0035907594	0.3104751	0.6829382
