 	la	donna	vuole	pulire	la	casa	ogni	giorno	per	stare	pulita	</S>
e	0.8864989	0.11319354	0.00024440093	5.0676437e-05	3.4293528e-06	2.2594575e-06	3.7129473e-06	4.2460306e-07	4.720096e-07	1.1772235e-06	2.4403863e-07	7.1326735e-07
j	0.31796423	0.67766315	0.0039663077	0.0001942029	9.942012e-05	3.1556094e-05	2.8672997e-05	1.3771525e-05	1.2968083e-05	7.905848e-06	8.340507e-06	9.486521e-06
i	0.43121773	0.56417006	0.004588849	4.484778e-06	5.596053e-06	9.504012e-06	2.7566836e-07	1.0149889e-06	4.1183037e-07	2.809575e-07	2.0152562e-07	1.5631251e-06
n	0.09601246	0.8909505	0.011229432	0.001619231	0.00015072121	2.5780466e-05	8.475599e-06	1.7470215e-06	5.3605453e-07	3.9615958e-07	1.750603e-07	4.5084641e-07
è	0.14507803	0.84709054	0.0077603995	3.6918656e-05	1.2464295e-05	5.5449245e-06	1.4326744e-06	1.4162127e-06	7.421999e-07	8.7788857e-07	1.3473242e-06	1.0274952e-05
k	0.0025728305	0.9629038	0.031573363	0.0025515845	0.00029381682	5.015896e-05	5.067463e-05	1.5988381e-06	9.852739e-07	4.7613077e-07	1.0755215e-07	5.903871e-07
a	0.16214162	0.73865783	0.09537534	0.0032345206	0.00050954137	5.8643433e-05	7.6162964e-06	1.1894428e-05	1.7552399e-06	8.5347295e-08	4.7359418e-07	7.2767205e-07
t	0.0005816077	0.2862002	0.5887434	0.112777025	0.008250399	0.0014297455	0.0010802896	6.904836e-05	4.49852e-05	0.0001936208	5.1433344e-05	0.0005783129
è	0.05221144	0.4924467	0.45064107	0.003771865	0.00050891726	0.00010973545	5.9125956e-05	2.6208849e-05	1.3907949e-05	2.00521e-05	3.2372096e-05	0.00015860998
l	5.2514883e-05	0.102709666	0.7959446	0.08933062	0.00873519	0.0017673948	0.0010242469	3.334352e-05	2.2354589e-05	0.00014554769	2.809161e-05	0.00020647199
i	0.013645269	0.0833467	0.82246673	0.06889381	0.010924323	0.00057892734	5.386116e-05	7.4974974e-05	8.261043e-06	8.96794e-07	2.7373073e-06	3.5721926e-06
n	4.2305743e-05	0.0024735224	0.48201007	0.45490056	0.04519465	0.008741185	0.004800086	0.00019555187	0.00011273691	0.0006242389	0.00012117754	0.0007839251
a	0.02117597	0.042395674	0.86180234	0.06303694	0.0091450075	0.0012880905	0.0004280243	0.0001668824	5.680606e-05	7.534665e-05	8.829387e-05	0.00034072946
