 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.7219913	0.26100457	0.016867276	5.725518e-05	6.0615617e-05	1.8815173e-06	1.7125407e-05
s	0.05902194	0.8697304	0.068003684	0.0015535012	0.0007320906	0.00030993493	0.0006483718
ù	0.049389035	0.9425829	0.0075985435	0.00041761852	2.5691666e-06	3.7278587e-06	5.5955657e-06
p	0.010603252	0.60244256	0.38511252	0.0017475905	8.225339e-05	1.4605027e-06	1.0387787e-05
ò	0.1362808	0.81681085	0.017892199	0.028530005	0.00019519927	0.00024168228	4.9299397e-05
s	0.0044001346	0.074358255	0.90999967	0.010064644	0.00066297164	1.0717339e-05	0.00050372054
e	0.3159185	0.4483278	0.107107505	0.12746167	0.0007504072	0.00033705102	9.716341e-05
b	0.00024986954	0.0053634173	0.9705358	0.019833725	0.002155468	2.1528549e-05	0.0018402372
o	0.51438195	0.23490635	0.21461159	0.033945873	0.0011894442	0.00022530918	0.0007394236
t	8.574699e-05	0.0012692093	0.8732587	0.11239497	0.009836667	4.9651735e-05	0.003105047
t	0.13311471	0.027818676	0.6458099	0.16893823	0.017198421	0.0008630405	0.006256989
ì	0.005711381	0.0023002161	0.20642605	0.7739564	0.0101653375	0.0012962411	0.00014435241
g	0.000115112634	0.0014353563	0.35563475	0.4837583	0.13018288	0.00066238584	0.028211202
l	0.03606276	0.0071731913	0.13970014	0.81308883	0.0033524917	0.00053822075	8.43601e-05
i	0.120925464	0.0044644945	0.011970965	0.8568965	0.0042688022	0.0014226227	5.108956e-05
e	0.00024443728	0.0020361713	0.016759548	0.7701669	0.18314295	0.0011637425	0.026486406
ì	0.009189585	0.009189913	0.0071357326	0.6784229	0.26016197	0.013230131	0.022669697
s	0.0030483413	0.014403953	0.007210873	0.7517461	0.1847657	0.025186885	0.013638163
e	0.003772748	0.0018302726	0.007027841	0.914149	0.070881546	0.002164938	0.00017366749
g	0.00055378425	0.004565824	0.0025626854	0.08491971	0.78559494	0.029280208	0.092522815
l	0.032980483	0.015262573	0.0050244946	0.28946912	0.1757676	0.31939918	0.16209653
a	0.0026371437	0.0026664236	0.00032301192	0.07818649	0.8974022	0.017781124	0.0010035299
m	0.00085737003	0.0074096946	0.00089298777	0.010936594	0.22630405	0.58808935	0.1655099
m	0.01403772	0.043235883	0.0048797713	0.0845488	0.71808624	0.06859741	0.066614084
è	0.0019644822	0.0044336114	0.0004207725	0.010654101	0.90935117	0.061060317	0.012115555
n	0.0004936932	0.008423684	0.00036070828	0.0017149157	0.029645842	0.33668038	0.6226807
a	0.013134602	0.030209702	0.006810858	0.42396268	0.04051341	0.37990308	0.105465695
d	0.00096047274	0.011066445	0.0015519061	0.0038629924	0.010455381	0.6143448	0.357758
è	0.012474498	0.0142993	0.0014801178	0.011309072	0.009378005	0.6411283	0.3099307
k	0.00015676455	0.0016892606	0.00013228183	0.0003763133	0.0011390186	0.91136736	0.085138984
a	0.001791749	0.0011711308	9.734252e-05	0.002065939	0.0033347683	0.9118272	0.079711854
</S>	0.0009731346	0.016329449	0.002375903	0.0028208306	0.0023984045	0.241385	0.73371726
