 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.5100514	0.4868189	0.0030273807	4.3398235e-05	3.1258875e-05	1.5982578e-05	3.391826e-06	1.6197808e-06	2.3286104e-06	9.2544934e-07	3.3181052e-06
a	0.03969938	0.9586173	0.00059673	0.0009623099	5.287297e-05	1.12346315e-05	5.4473767e-05	2.1733845e-06	7.6202366e-07	1.3813285e-07	2.6871548e-06
p	0.061385363	0.9160407	0.018477937	0.0037028405	0.00029180254	2.656615e-05	4.2194304e-05	4.486181e-06	1.5013117e-06	2.3782037e-05	2.832177e-06
e	0.0061941477	0.9905359	0.0014077607	0.001723971	0.00010198485	9.662967e-06	2.1852973e-05	1.2936973e-06	9.190491e-07	6.490246e-07	1.894509e-06
d	0.010016954	0.9683096	0.017880727	0.0034635165	0.0002308347	2.3552593e-05	5.942618e-05	1.1488868e-05	6.763339e-07	3.0947479e-06	2.7742027e-07
ì	0.013391163	0.9595539	0.014017627	0.011685645	0.0011039316	6.676219e-05	0.0001524836	3.737864e-06	2.4187286e-06	1.2171089e-06	2.103504e-05
a	0.0031153765	0.91019773	0.07007021	0.015363945	0.00087706407	0.00028026837	7.0581424e-05	1.471768e-05	1.8083513e-06	7.4541626e-06	8.441619e-07
m	0.0009178509	0.23491146	0.26705116	0.4416439	0.04473675	0.006106685	0.002829884	0.0012426365	0.00021290348	0.00025941405	8.734772e-05
i	0.058632363	0.64253753	0.24572736	0.035148382	0.0154009145	0.0003677113	0.0021609399	7.4964323e-06	1.6684185e-06	9.0942046e-07	1.4744391e-05
n	5.7348734e-05	0.0075276163	0.88233066	0.062424347	0.04215973	0.004294427	0.0009512046	9.04293e-05	3.6601956e-05	3.4108805e-05	9.3458795e-05
c	0.06810891	0.15348957	0.5308243	0.15039176	0.09008049	0.0024639685	0.0040461468	7.33186e-05	4.6009907e-05	5.3834315e-06	0.0004701405
i	0.021090565	0.43742427	0.0070034484	0.5234694	0.007005128	0.0016287853	0.0023009314	3.678142e-05	1.2492201e-05	1.2379202e-05	1.5832818e-05
à	0.0001066278	0.0008815303	0.16833635	0.75969374	0.054539546	0.009887866	0.0055371346	0.0007298851	0.00018322897	9.841485e-05	5.698691e-06
è	2.9927349e-05	0.0010714632	0.022951	0.9294455	0.022575177	0.008456158	0.012795309	0.001767846	0.00063803745	0.00025869143	1.098192e-05
r	2.326329e-05	0.00019650963	0.0044246875	0.94523776	0.022289088	0.013697451	0.009443402	0.003147052	0.0006554142	0.0008059791	7.943532e-05
k	0.006042037	0.0015896658	0.12689777	0.034119092	0.7235877	0.04560328	0.061689172	0.00041296644	3.2542786e-05	5.035499e-06	2.076089e-05
u	0.098508716	0.07646484	0.07684176	0.37839505	0.20814894	0.005109792	0.15629397	0.00021409985	8.825388e-06	6.5880604e-06	7.4779623e-06
t	1.3836178e-05	3.135176e-05	0.0035478612	0.042764433	0.5824205	0.30613533	0.049310435	0.010744745	0.002428149	0.0013199849	0.0012834121
t	0.00076552934	0.00020968403	0.025275985	0.008891249	0.8472406	0.039891995	0.07708083	0.00048784743	6.360267e-05	4.2645074e-06	8.8361936e-05
e	0.0013305999	0.0025215794	0.01589369	0.006162033	0.68892413	0.022023989	0.26160446	0.0014594339	6.5373046e-05	6.402555e-06	8.39897e-06
n	1.2512095e-05	7.7001576e-05	0.00066937495	0.014797138	0.5672107	0.30333814	0.083014235	0.019256482	0.0058871275	0.0021269182	0.0036103406
d	0.0005336258	0.0004284474	0.019458834	0.006019667	0.65338135	0.11977453	0.197105	0.0025192867	0.00043944223	8.2770775e-06	0.00033155974
i	0.00034449087	0.000805686	0.009062547	0.00296387	0.68473977	0.09715644	0.19828394	0.005701845	0.0007985757	3.692548e-05	0.00010589185
m	4.289587e-05	0.00019800234	0.00025663537	0.018687464	0.15357691	0.48763117	0.16996695	0.112947665	0.025054812	0.02854046	0.0030970576
è	0.00037109217	0.00025005534	0.0048892647	0.0013653176	0.57983214	0.16736583	0.24169144	0.0033272658	0.0005603963	1.1972245e-05	0.00033518494
n	2.863363e-06	5.2465217e-05	0.00014395575	0.003483743	0.20662627	0.36388418	0.31268212	0.09730382	0.012077657	0.0023952185	0.0013477178
i	0.0013230843	0.00047862783	0.0022335984	0.0020935612	0.4231172	0.046015773	0.48078424	0.04269417	0.00081406045	0.00017536913	0.00027027767
à	8.909328e-05	0.00016291082	0.000567994	0.0024591726	0.03355761	0.20938973	0.13409536	0.42811564	0.11209637	0.065617375	0.013848793
t	8.897659e-05	0.00080998044	0.00019915856	0.003787534	0.012428017	0.14607267	0.1828782	0.36769134	0.1218864	0.14825684	0.015900869
t	0.004067794	0.0016927699	0.0037981842	0.0031959617	0.16085526	0.02390421	0.7789839	0.021598548	0.0016880287	0.00010910645	0.00010636181
o	0.0066471854	0.0036122855	0.001383191	0.0029901797	0.05558009	0.021260973	0.85681117	0.049828213	0.0017397066	4.3599997e-05	0.000103429826
n	5.389521e-05	0.0003333455	0.0002815743	0.00085989584	0.0015618607	0.011075024	0.049451523	0.6406487	0.22371627	0.029645784	0.042372227
c	0.0045558675	0.0034692644	0.0025840793	0.0015642399	0.02626672	0.022689216	0.7328698	0.18142065	0.018776137	0.00018955284	0.005614407
i	0.051256374	0.029949775	0.0064426456	0.15025233	0.03402001	0.0038886766	0.6569973	0.021122992	0.0055718026	0.0001256473	0.040372428
ù	0.00015333782	0.00019201863	0.0001850231	0.0025662829	0.00038039946	0.0009201196	0.032264143	0.36327514	0.23654655	0.3580395	0.005477481
r	0.0018535232	0.0013942044	0.00025750278	0.0042200596	0.00040173388	0.0013215883	0.15845323	0.31381327	0.17465183	0.32544747	0.018185625
i	0.00032511327	0.0003429209	0.0011789385	0.0006615223	0.00956388	0.037661634	0.66708153	0.23592661	0.041959092	0.0044690035	0.00082973886
c	4.366731e-05	0.00063258054	0.00025731255	0.0013412231	0.00015813782	0.0010357839	0.0039943047	0.19034664	0.5129775	0.23219755	0.057015274
e	0.033310425	0.05034648	0.0063769813	0.008094134	0.009902214	0.0132838795	0.26275176	0.45102382	0.043804366	0.0017503849	0.11935565
à	0.0001408143	0.00038784437	0.00029957775	0.0035842385	0.00016635646	0.00021907658	0.0042440784	0.045675687	0.19681008	0.7269587	0.021513559
t	0.0016040112	0.0015522817	0.00039492364	0.009007419	5.5437453e-05	0.00014054871	0.014939709	0.041523848	0.114575796	0.6712003	0.14500579
t	0.003402071	0.0030624624	0.002171721	0.0009599497	0.0037990287	0.031435955	0.14115013	0.63284945	0.15038323	0.02673579	0.004050151
i	0.041679274	0.043453302	0.02128055	0.07944142	0.016744524	0.07903839	0.0789848	0.37598914	0.23911875	0.0029996857	0.021270242
m	0.00032351457	0.0030152071	0.00078621355	0.0032826874	0.00026957106	0.00058173784	0.0015356356	0.01424836	0.19743118	0.09728852	0.6812374
à	0.01058229	0.019242188	0.0028558562	0.00028914813	0.00033239208	0.011206867	0.006434243	0.052917585	0.20756686	0.0024905216	0.68608207
n	0.00019304437	0.0019905567	0.0007638483	0.0031683135	0.00028239327	0.0004554718	0.0035956965	0.017863149	0.23948805	0.2757168	0.45648265
a	0.019902248	0.024537964	0.00092378433	0.003282329	0.00031811677	0.0035601289	0.011642806	0.116208315	0.024897197	0.0095365215	0.7851905
</S>	0.00087397784	0.0028318774	0.0025663225	0.0071793417	0.0010657586	0.0009495548	0.0031311023	0.005299958	0.044472493	0.11224282	0.8193868
