 	vuole	andare	a	Lecce	</S>
i	0.9989328	0.0009922489	2.7536144e-05	9.869139e-06	3.757619e-05
t	0.9824241	0.015928634	0.000103449755	0.0013350412	0.00020878519
è	0.2547175	0.18289836	0.0016489855	0.5606631	7.2046874e-05
l	0.9272988	0.07130363	0.0009947841	0.00030538163	9.737859e-05
i	0.13063033	0.5650638	0.00989734	0.2943974	1.1183339e-05
n	0.026166674	0.80588764	0.07837135	0.042492777	0.047081508
a	0.057651646	0.5852408	0.04794916	0.30869654	0.0004618503
p	0.0105835395	0.59066147	0.33159304	0.04319608	0.023965906
à	0.06780268	0.112903565	0.57776254	0.22665708	0.014874106
i	0.010022376	0.23345415	0.659156	0.06623533	0.031132124
L	0.0034233644	0.0078124944	0.098479	0.8687759	0.021509279
u	0.008077719	0.044730198	0.24207924	0.70304877	0.0020640383
p	0.00646326	0.006143561	0.260593	0.32360426	0.40319595
p	0.030045742	0.016337035	0.15838431	0.66675603	0.12847684
ì	0.075715944	0.4962517	0.11015039	0.31277555	0.00510638
u	0.036009766	0.009353339	0.04295608	0.5384752	0.37320557
n	0.022521362	0.0012697579	0.0017612139	0.80681676	0.16763087
a	0.07666542	0.018326275	0.0070304703	0.7599509	0.13802695
</S>	0.015734013	0.0036919087	0.003769663	0.14529948	0.831505
