 	ho	rotto	una	bottiglia	</S>
è	0.83547646	0.15871477	0.004370402	0.0005557326	0.00088260387
g	0.026598837	0.96836066	0.004427446	0.00025141542	0.00036165325
l	0.1292815	0.84404373	0.02227572	0.002966307	0.0014328107
a	0.012893962	0.98521674	0.0018763976	1.2010112e-05	9.1482895e-07
s	0.03955314	0.67788005	0.20505124	0.014871715	0.062643945
a	0.3313395	0.41624418	0.24557237	0.00524131	0.0016025985
m	0.008669519	0.058777742	0.80624753	0.057784945	0.06852025
i	0.45259464	0.09591242	0.41058415	0.016542803	0.024366045
a	0.0014363966	0.0044087046	0.6817833	0.18978874	0.12258279
b	0.017127518	0.0029526139	0.44424006	0.3921281	0.14355174
u	0.29424512	0.028472062	0.5026172	0.11075413	0.06391149
t	0.00086586643	0.00075305585	0.09439415	0.7539919	0.14999509
t	0.086263664	0.0048720855	0.06636459	0.50354797	0.33895165
ì	0.006705099	0.0024186021	0.16223246	0.8002423	0.028401492
g	0.0012722719	0.0005541123	0.006271297	0.24316181	0.74874043
l	0.60006493	0.048008397	0.072977155	0.20272066	0.076228894
i	0.66148615	0.062421247	0.0060164006	0.13935988	0.13071635
a	0.0020719504	0.0007091254	0.0037340731	0.035133693	0.9583512
</S>	0.12907289	0.009046291	0.0033015013	0.103397004	0.7551824
