 	perché	aveva	lavorato	molto	</S>
j	0.9995839	0.00031718664	7.509146e-05	4.763999e-07	2.338008e-05
a	0.9929362	0.007023983	2.7443768e-05	1.2082348e-05	2.314314e-07
t	0.99391717	0.005425035	0.0006269833	7.1315258e-06	2.3740535e-05
ì	0.9687252	0.030663306	0.00056438264	3.7017406e-05	1.006068e-05
ì	0.9743936	0.022521788	0.0029640323	2.454586e-05	9.609754e-05
c	0.50521564	0.3694273	0.11233523	0.0026551492	0.010366638
h	0.050753213	0.88068867	0.06600217	0.0023277514	0.00022827773
e	0.2315401	0.76671416	0.0014645532	0.00028048834	5.9577394e-07
p	0.036466017	0.2785806	0.63326967	0.008838367	0.042845324
o	0.04004265	0.73984903	0.21314134	0.005783271	0.0011838143
l	0.0124780405	0.12682304	0.8330634	0.020676965	0.006958488
e	0.0034210747	0.081070565	0.8976514	0.014094006	0.0037629812
m	0.004659007	0.0038820268	0.87340564	0.051325615	0.06672775
ì	0.00062541035	0.018052777	0.96304697	0.0096695265	0.008605345
s	0.0033870018	0.0023971777	0.80975425	0.11984492	0.06461664
o	0.00032370433	0.014195137	0.80139714	0.18263812	0.0014458251
n	0.0022797524	0.000684496	0.13846895	0.47508484	0.38348204
t	0.027934568	0.0287325	0.5985513	0.24352188	0.10125977
a	0.0045425016	0.011208681	0.48259366	0.4975203	0.0041347924
p	0.012936114	0.0005370793	0.01736576	0.42996344	0.53919756
o	0.042231634	0.022826124	0.17786	0.6375157	0.11956647
d	0.0042557763	0.0014760776	0.007210786	0.8290776	0.15797976
d	0.087475546	0.011050739	0.04305691	0.6799799	0.1784369
h	0.059317272	0.044259604	0.11160707	0.74846953	0.036346473
ì	0.043014433	0.059531122	0.06562622	0.74298716	0.08884115
</S>	0.0686064	0.0030949495	0.0023204687	0.06721392	0.8587643
