 	Marika	tu	hai	mangiato	</S>
M	0.98927313	0.008262746	0.0015668763	0.00018059737	0.0007166465
a	0.90984803	0.041348092	0.020892154	0.026442671	0.001469019
r	0.9358307	0.058610253	0.0052093402	0.00025329913	9.626078e-05
ì	0.045374162	0.60703707	0.31960142	0.020934843	0.007052486
k	0.02212986	0.6717396	0.24963222	0.015563584	0.04093475
a	0.0065631815	0.007529451	0.9489714	0.036665916	0.00027018622
e	0.008726627	0.3764198	0.41179192	0.06275776	0.1403038
s	0.004739663	0.017825658	0.54395473	0.23159902	0.2018809
ù	0.00065527356	0.0032069911	0.6988852	0.28979963	0.007452926
è	0.0012298643	0.015945964	0.24005297	0.7120262	0.03074499
f	0.00032049953	0.0024113625	0.029189123	0.9421807	0.025898322
e	0.065309964	0.0017921187	0.07287084	0.81586826	0.044158783
</S>	0.006510064	0.0036996442	0.003172487	0.44825056	0.5383673
