 	non	aveva	cosa	a	fare	</S>
e	0.7497694	0.20706129	0.03968247	0.0027011316	0.00018111579	0.0006046749
n	0.28228107	0.656733	0.057309765	0.002057832	0.00037684184	0.0012415885
ì	0.011721496	0.6448653	0.01587701	0.00055873266	0.3262914	0.00068611215
c	0.0016493401	0.8657672	0.13197803	0.00017174195	0.00043268668	1.0070984e-06
h	0.008521981	0.7793147	0.034444645	0.00014122226	0.17751335	6.423477e-05
e	0.0020102279	0.55769444	0.42913458	0.0017369653	0.009408715	1.5025093e-05
t	0.0034007505	0.0518897	0.9175235	0.020986132	0.0042350376	0.0019648145
i	0.1538155	0.027685322	0.022235643	0.0007750565	0.79409814	0.0013903407
k	0.0008838311	0.0022897816	0.21043724	0.56390923	0.13512269	0.08735727
à	0.027928773	0.0026333102	0.001802555	0.0042718495	0.9208686	0.042494994
m	0.00024454482	0.00026361283	0.0044487044	0.09466616	0.8273528	0.073024176
i	0.0012702862	0.0006408649	0.006045396	0.004105605	0.9761791	0.011758691
</S>	0.00058046443	0.00032855812	0.0015424321	0.013877223	0.19257762	0.79109377
