 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.9899296	0.009879301	0.000177305	4.3609766e-06	6.221329e-06	5.10557e-07	5.877849e-07	6.935746e-07	2.591286e-07	1.1172413e-06
d	0.08014421	0.9110882	0.0069812066	0.0010436004	0.00014111289	0.00033774768	9.7246564e-05	0.000105514046	2.0564872e-05	4.059058e-05
r	0.07184217	0.9133055	0.013592789	0.0011984686	2.5153797e-05	1.7472812e-05	1.5812824e-05	2.7227037e-07	1.7467672e-06	7.01919e-07
e	0.14465776	0.8450129	0.009996617	0.00025147863	6.547937e-05	1.0175799e-05	3.6558013e-06	7.683927e-07	9.227794e-07	2.945793e-07
f	0.0042825	0.940006	0.052349433	0.0017702465	0.0010860391	0.0003317858	8.569338e-05	7.6361466e-05	1.1004632e-06	1.0830132e-05
f	0.6199977	0.23035069	0.14470051	0.0044652303	0.00013145492	7.882103e-05	0.000136079	2.8859167e-05	6.854463e-06	0.00010389851
ì	0.029184243	0.89600956	0.07265291	0.0013820748	0.00055115874	0.00017175898	3.4845867e-05	9.711506e-06	3.0908182e-06	6.0652127e-07
m	0.00061955734	0.38264567	0.60433763	0.007523836	0.0042806086	0.00018679621	0.0001470499	0.00010989144	2.5472234e-06	0.00014633237
m	0.23535883	0.093496196	0.5704344	0.08762658	0.003478952	0.005322152	0.004233585	3.0143457e-05	1.5733525e-05	3.3630038e-06
u	0.005015656	0.83328545	0.14993238	0.011555603	4.120194e-05	0.0001432887	2.494136e-05	7.565819e-07	7.494752e-07	7.9184254e-08
f	0.00012732079	0.009572957	0.89577353	0.06510833	0.026497329	0.00092368224	0.00056577247	0.00039914853	2.9251956e-05	0.0010026882
ù	0.07462072	0.0073457146	0.8118235	0.10260194	0.0011604765	0.0010155597	0.0013611779	2.9735265e-05	1.9622048e-05	2.1552762e-05
e	7.4244075e-05	0.0016353227	0.82720906	0.11404183	0.05091325	0.0023425387	0.0018003251	0.0014308717	2.0022258e-05	0.0005324738
p	0.0007350996	0.009287644	0.54894364	0.24381204	0.047077455	0.054030962	0.034264416	0.060119152	0.00014706416	0.0015825625
p	0.031413127	0.001602071	0.20216262	0.685685	0.041227523	0.019887932	0.01685274	0.00033056064	0.0002627133	0.0005757585
ò	0.03671243	0.18306452	0.4403299	0.32151598	0.0055525857	0.009886998	0.002801333	0.000121376695	5.1483876e-06	9.667876e-06
r	0.00024444872	0.00093057676	0.054631405	0.32171273	0.44979998	0.11485692	0.035838548	0.021135703	0.00022901621	0.0006206399
k	0.0062375325	0.00021654775	0.10933403	0.3228022	0.4031673	0.040500414	0.1159232	0.0012001111	0.00058378297	3.4852976e-05
e	0.061745152	0.061645716	0.14527579	0.6493818	0.009198987	0.052107386	0.020425357	0.00018034769	2.412105e-05	1.5289577e-05
t	0.00016231343	0.00042257863	0.005893659	0.07698665	0.6984031	0.09234793	0.07391415	0.04718396	0.00047179358	0.004213772
e	0.012869964	9.7543205e-05	0.028319485	0.28593636	0.2607104	0.074353546	0.33237198	0.004235264	0.0007015255	0.00040397386
e	0.00028882126	0.0013012937	0.005034911	0.0327217	0.50719845	0.17498922	0.17326164	0.09899455	0.0014544086	0.00475506
t	0.00059983344	0.0012509916	0.0013147428	0.011871874	0.024181368	0.4185423	0.24072483	0.29626772	0.003450867	0.0017954952
è	0.001661193	2.2673388e-05	0.0032595643	0.0298437	0.069833405	0.048882928	0.80826163	0.029495588	0.006764346	0.0019749622
l	0.00035656875	0.0015379852	0.0031039931	0.005221039	0.07946931	0.36844286	0.38635418	0.13243786	0.019917808	0.0031584066
i	0.00082669524	1.4214089e-05	0.00042120522	0.00356861	0.022840431	0.043574084	0.86808705	0.0401858	0.02044253	3.9470557e-05
n	0.00039710547	0.0020589451	0.002878876	0.0013778822	0.011752726	0.029472422	0.2508043	0.6502755	0.022479521	0.028502706
a	0.0043003936	0.0001061577	0.0015143355	0.0073240707	0.01853357	0.016897434	0.85166645	0.064738475	0.03374786	0.0011713267
d	0.0007078589	0.00394531	0.0066987365	0.002352035	0.005031259	0.039449897	0.25007507	0.6073083	0.069422916	0.015008522
i	0.0155028	0.0005180738	0.0023181972	0.0074243136	0.043691665	0.013258111	0.539448	0.091465764	0.27148706	0.014886017
v	0.0009308266	0.013756246	0.008736271	0.0028277498	0.001606922	0.034057267	0.24069554	0.6074272	0.08493739	0.005024618
e	0.009581246	0.0005810419	0.0012910219	0.002775722	0.033587646	0.007307246	0.21266532	0.07159924	0.6390185	0.021592984
n	0.002710284	0.034027405	0.029058892	0.01076751	0.0012208724	0.016795749	0.10512961	0.68510973	0.10614339	0.009036594
t	0.0013495132	0.00012789332	0.00041438817	0.0008182655	0.015907574	0.0032361376	0.08921179	0.031456873	0.8508782	0.0065993974
è	0.025584133	0.018229341	0.024365498	0.004022917	0.05230394	0.0091240965	0.13655402	0.21373655	0.50061816	0.015461333
