 	mia	figlia	vuole	andare	</S>
i	0.99074215	0.0089258505	0.0001974048	5.6182535e-06	0.00012901273
k	0.5119531	0.48173866	0.0025375122	0.00043178638	0.0033389756
i	0.58107406	0.41237304	0.0026615981	0.0038684628	2.2778613e-05
a	0.06513057	0.9295088	0.005116288	0.000121523655	0.00012281293
t	0.017235119	0.81752884	0.15365271	0.008090576	0.0034927246
è	0.38023472	0.39027652	0.21316239	0.015235721	0.0010907103
r	0.0020256096	0.78079695	0.20760576	0.006223934	0.0033477587
a	0.22627422	0.33078238	0.37465078	0.06767449	0.0006181331
m	0.001135077	0.15339506	0.7095859	0.020189175	0.11569481
u	0.40762207	0.14436136	0.4063588	0.03708099	0.004576746
i	0.00034709903	0.009695313	0.82872754	0.0396978	0.121532254
t	0.002247059	0.00077820156	0.24269612	0.626219	0.12805969
è	0.037479397	0.006090936	0.4898171	0.36369598	0.102916524
l	0.00056876004	0.0010425482	0.1766787	0.7696509	0.052059133
i	0.05342627	0.0070003513	0.16725962	0.7658028	0.006510984
n	0.00070544216	0.0004022222	0.007144418	0.49437532	0.49737263
a	0.2006508	0.010791224	0.0542168	0.5799661	0.15437503
p	0.0007796287	0.00029811045	0.0018798058	0.879808	0.11723442
à	0.06758131	0.0070998506	0.019943714	0.79144084	0.11393428
i	0.0015291985	0.00047680998	0.0012954168	0.8321688	0.1645297
</S>	0.06605122	0.0008684247	0.0006473958	0.29217997	0.640253
