 	l'	ha	scritta	</S>
t	0.97987354	0.01829369	0.00088870496	0.00094405666
o	0.9528385	0.04470504	0.00232638	0.00013005697
è	0.1444726	0.82730013	0.015981635	0.012245583
g	0.014043993	0.9275337	0.042249933	0.016172424
r	0.08570452	0.5132189	0.3436813	0.057395265
a	0.017902518	0.7136802	0.26578388	0.002633432
t	0.0003018092	0.033443976	0.56536347	0.40089074
s	0.01882255	0.02756751	0.9400498	0.01356009
e	0.010391736	0.33102438	0.6564968	0.002087029
</S>	1.8182222e-05	0.0012884326	0.13825142	0.860442
