 	questa	canzone	venne	scritta	quattro	anni	fa	</S>
ì	0.97937644	0.020315206	0.00024776388	3.987716e-05	1.0731727e-05	2.303591e-06	6.051373e-07	7.0884375e-06
s	0.89221734	0.09654947	0.011153525	5.474421e-05	1.3573656e-05	4.3774594e-06	3.0197282e-06	3.7902835e-06
o	0.46446565	0.43617323	0.09634912	0.0025785244	0.0004108334	1.9231882e-05	1.6638941e-06	1.7183564e-06
t	0.29366234	0.6772845	0.027890373	0.0010256578	8.3779065e-05	1.5667632e-05	8.27223e-06	2.9429308e-05
r	0.49948287	0.39703062	0.103148945	0.00026829497	5.5154156e-05	8.117459e-06	1.3979541e-06	4.630777e-06
a	0.08796511	0.8449745	0.066883825	0.0001669933	6.75235e-06	1.7898689e-06	7.217881e-07	2.4848455e-07
ù	0.00032565865	0.68142617	0.22722998	0.08261845	0.00638393	0.00031163837	1.6966533e-05	0.0016871884
d	0.00026949926	0.19331937	0.7867467	0.017310986	0.0020258161	0.0002173566	8.465909e-06	0.00010176113
i	0.11288751	0.13834836	0.654736	0.08594088	0.0069040945	0.0005887304	0.0004305927	0.00016391916
ì	0.00014435287	0.043696124	0.68655926	0.23729669	0.02978472	0.0016089183	7.816502e-05	0.00083182874
r	9.154299e-05	0.006762825	0.95418155	0.03262856	0.0054646954	0.00074992265	7.3223426e-05	4.7711186e-05
t	0.002937221	0.04157051	0.14964858	0.7342311	0.06997101	0.0015393174	2.648922e-05	7.574181e-05
e	0.012324938	0.19441323	0.7799234	0.012920902	0.00034136497	7.184894e-05	2.7563901e-06	1.5394046e-06
g	1.675819e-05	0.00020804424	0.022086084	0.77196485	0.19499089	0.008098189	7.311709e-05	0.0025621136
r	0.028610539	0.045831323	0.060879815	0.73287404	0.12705341	0.0026252472	0.0002841677	0.0018413918
a	9.902618e-05	0.003773796	0.017540429	0.6068586	0.35725766	0.012309196	0.0008501793	0.0013110958
m	3.4000197e-05	0.00012461591	0.010450784	0.43625805	0.5069301	0.04178295	0.001812832	0.0026065537
m	0.00011583084	0.00070637494	0.007413796	0.73200756	0.25045627	0.008427621	0.00012657802	0.0007460091
è	0.00076349557	0.0031066702	0.009430065	0.47728306	0.43173742	0.07729483	0.0002484029	0.00013608357
n	6.0927538e-05	7.5988275e-05	0.005941677	0.38257688	0.557876	0.042436816	0.0004364037	0.010595319
o	0.0009112197	0.007540364	0.0075420397	0.453991	0.50271106	0.0265736	0.0006111356	0.00011956905
t	9.3591356e-05	0.00017271788	0.0010003968	0.044387903	0.78935266	0.15063809	0.0052673137	0.00908733
è	0.0017265752	0.00046261257	0.00025464603	0.21436244	0.6977229	0.08186777	0.00042443315	0.003178639
s	6.2035855e-05	7.018383e-05	0.0010510265	0.021167854	0.7168941	0.24715346	0.0037192293	0.0098821055
s	0.00025024294	0.00011149445	0.0001143024	0.053066492	0.8223407	0.12218528	0.0018389262	9.249069e-05
e	0.04358206	0.024972022	0.022799611	0.09062156	0.353676	0.45823103	0.003905361	0.0022123614
r	0.00040935582	0.0004286945	0.001974878	0.0051997127	0.2110141	0.6501365	0.024741488	0.106095344
u	0.0010631217	0.0006027247	0.00040873853	0.039582558	0.4473194	0.4922621	0.015884498	0.0028769076
c	0.00058578537	0.00053966104	0.0045650583	0.0029434008	0.06263234	0.6483834	0.13557523	0.14477515
h	0.0251723	0.00748708	0.00075903325	0.049191058	0.13635775	0.68737715	0.009430233	0.08422531
r	0.00015120363	0.0001383689	0.0006943503	0.0057542343	0.032660484	0.9420143	0.015465107	0.0031218827
ò	0.00052781415	0.00039272677	0.0022661441	0.05267605	0.110641025	0.7234227	0.076903254	0.033170238
n	0.002264659	0.0014929703	0.0169111	0.002682016	0.012041308	0.24592264	0.43063802	0.28804725
u	0.00045872462	0.00018493946	4.760281e-05	0.0016421381	0.0075220824	0.9455636	0.038304035	0.0062769353
a	0.0017385441	0.0017771994	0.017103422	0.004169298	0.0070086587	0.10121575	0.35619223	0.5107948
m	0.029337503	0.008730585	0.033631135	0.0006602685	0.0012519232	0.031869087	0.50918746	0.3853321
p	0.01737877	0.0030772453	0.00072103064	0.011286839	0.055388916	0.62581056	0.051317364	0.23501919
ì	0.006113956	0.0034412183	0.005666864	0.020738997	0.07214125	0.75414324	0.015956786	0.12179765
</S>	0.004241568	0.002561705	0.02302696	0.0045892783	0.0033041053	0.028034085	0.2557295	0.67851275
