 	sta	seduta	nel	giardino	nel	giardino	</S>
s	0.94897944	0.04999747	0.0009470522	1.277518e-05	4.339253e-05	1.2932089e-06	1.8504543e-05
t	0.82617545	0.17260045	0.0006957887	0.00032136252	1.4611203e-05	0.00017950857	1.2767121e-05
e	0.5075931	0.47162125	0.011282157	0.0080373	8.557154e-05	0.00136978	1.0876711e-05
k	0.057902053	0.91704345	0.024293305	0.00048931746	0.00018037851	1.2046026e-05	7.950621e-05
a	0.10682358	0.8850595	0.0049023204	0.0025525505	0.00019561475	0.0003505091	0.00011597308
m	0.0061936355	0.96196234	0.030924568	0.0007820463	6.011258e-05	1.5226085e-05	6.206466e-05
m	0.04047457	0.93603396	0.020072198	0.0024799164	0.00014568996	0.0004259175	0.00036763263
è	0.007542915	0.93161905	0.041035354	0.019092824	8.7876455e-05	0.0006193997	2.6826185e-06
n	8.747644e-05	0.20170595	0.7694427	0.0059481314	0.014972536	4.197694e-05	0.007801213
i	0.01533611	0.87195516	0.104548335	0.00797017	2.1984288e-05	0.00016662238	1.6424248e-06
s	6.597342e-05	0.0071729883	0.87486994	0.0935191	0.019808173	0.0008014904	0.0037623807
t	0.017692637	0.42042935	0.4838231	0.066761196	0.003082828	0.0033335593	0.0048773703
o	0.010116863	0.12349394	0.19050293	0.65671974	0.0028875957	0.016226765	5.2089163e-05
g	0.00019241583	0.0035829467	0.4226251	0.36792886	0.15553388	0.001125071	0.049011648
i	0.01864938	0.4289819	0.41074416	0.11206326	0.014341463	0.0035398533	0.011680021
a	0.00023067852	0.0009496276	0.015601191	0.88470936	0.0794206	0.014990253	0.0040982617
r	0.004826384	0.002048695	0.0072071273	0.72822356	0.09424154	0.15708722	0.006365547
d	0.007995018	0.0796914	0.17896347	0.32400164	0.26567397	0.031193258	0.11248124
ì	0.0028357452	0.010532364	0.012823987	0.5253471	0.3060666	0.13645707	0.005937014
n	0.0006089949	0.0019778612	0.0035026257	0.22570895	0.67227304	0.06093647	0.034992047
o	0.0025275194	0.010076911	0.004755003	0.7653017	0.00725811	0.20623338	0.0038473583
s	0.0004957554	0.0022326116	0.0014038883	0.037883654	0.78159285	0.083712325	0.092678905
t	0.102739245	0.12902276	0.1491032	0.16259576	0.25199318	0.12220714	0.08233872
o	0.024430502	0.020720225	0.008899676	0.095846884	0.18554719	0.6534495	0.011106035
c	0.0016295731	0.00455735	0.0014208239	0.0076758927	0.35158738	0.20132293	0.43180606
ì	0.08269102	0.06322893	0.07962817	0.033258155	0.034613267	0.2530632	0.45351726
p	0.0032866038	0.0075341645	0.0019109141	0.0065161954	0.071243525	0.75891227	0.1505964
o	0.0003765351	0.00025288656	0.00049277936	0.00464232	0.0010221767	0.9825065	0.010706809
</S>	0.003495079	0.013295874	0.0033181391	0.0025794653	0.027834313	0.18801793	0.76145923
