 	e	che	cucino	</S>
c	0.9689313	0.029841114	0.00031569364	0.00091194356
e	0.118070066	0.03656193	0.8453266	4.1410396e-05
p	0.71950686	0.27521738	0.0049661146	0.0003096126
u	0.62655205	0.08554511	0.28735447	0.00054839154
m	0.08130251	0.69200784	0.21516602	0.011523601
a	0.08821509	0.05359655	0.85280716	0.0053811907
r	0.0015488957	0.16071354	0.7622617	0.07547589
è	0.0025339406	0.021362837	0.74982876	0.22627445
o	6.2849535e-06	0.0090892045	0.944267	0.046637557
</S>	0.0001464391	0.0013054096	0.637093	0.3614551
