 	non	ho	dove	d'	andare	</S>
e	0.81218517	0.1096704	0.07705162	0.00044218206	0.00012282601	0.00052782067
n	0.43493044	0.31975302	0.23415639	0.0032624744	0.0016215409	0.0062760385
è	0.11933087	0.22534095	0.3045621	0.0028266404	0.33999485	0.007944519
c	0.015279838	0.06212735	0.92017007	0.0018707024	0.0005307531	2.1300932e-05
h	0.008962341	0.05547773	0.3498815	0.000725298	0.58445954	0.0004936268
o	0.0016401072	0.004892155	0.9805047	0.00414274	0.008804581	1.5644417e-05
p	0.00472397	0.03244862	0.9257839	0.027972111	0.0039328476	0.005138561
u	0.19187325	0.057581358	0.22121659	0.0022121025	0.5259371	0.001179591
è	0.0052007576	0.023440205	0.026301773	0.4718687	0.31186923	0.16131942
n	0.005128018	0.0064508165	0.0047711562	0.19688506	0.75870293	0.028062012
a	0.05783678	0.051812474	0.02892552	0.0016777414	0.8498404	0.009907132
p	0.0022514784	0.0019465884	0.0014748683	0.030830685	0.78004646	0.18344995
à	0.02767075	0.03252779	0.0023261209	0.0014308358	0.88900214	0.047042362
o	0.00035034688	0.0005321926	0.00032445666	0.010770125	0.9464289	0.041594088
</S>	0.025112674	0.0058835354	0.0012634052	0.004208135	0.4763676	0.48716465
