 	io	non	ho	cosa	da	mangiare	</S>
e	0.9537282	0.03715421	0.00301279	0.005269592	0.00051867496	0.00013793696	0.00017876178
v	0.96469325	0.03012623	0.00237755	0.0022803352	0.0002025014	0.00014560543	0.00017460108
ò	0.72723734	0.12235716	0.09158406	0.008673523	0.00019814489	0.04982212	0.00012758726
e	0.1293342	0.60629714	0.11344865	0.14720476	0.0021055506	0.0015242752	8.5432795e-05
n	0.050585423	0.32461932	0.29869786	0.30968133	0.009141738	0.0066010915	0.00067307724
è	0.008171682	0.0005145743	0.0003434209	0.0014864078	9.931869e-05	0.9884681	0.0009165217
c	0.0050053606	0.02054282	0.12939	0.793233	0.04898006	0.0020986854	0.00075006264
h	0.006241063	0.0030267348	0.0031971952	0.016725574	0.00056428305	0.96783954	0.0024055615
o	0.028127016	0.0061211996	0.029698094	0.86162007	0.0058308686	0.06856197	4.0882023e-05
t	0.0025729006	0.004690758	0.017154442	0.5892929	0.3262898	0.032111306	0.027887793
i	0.001418367	0.00557401	0.017249268	0.24689719	0.007828173	0.7156857	0.0053472924
è	0.000744277	0.0031727604	0.012822908	0.19712625	0.6107106	0.13275273	0.04267049
n	0.008624568	0.0005890223	0.0030615611	0.020527925	0.1896293	0.74886686	0.028700799
a	0.0015449174	0.006410834	0.0028472873	0.005227308	0.001855099	0.9566086	0.025506034
f	0.0047623557	0.002621696	0.004148029	0.0049473695	0.28082624	0.3800011	0.32269326
à	0.012877184	0.010350907	0.019214945	0.0033254873	0.022562092	0.6591056	0.2725638
o	0.0009290394	0.0007042675	0.0019369076	0.0009787359	0.053745534	0.8673436	0.074362025
</S>	0.17385317	0.0018530044	0.0013111166	0.0003529284	0.010110021	0.28622174	0.52629805
