 	e	forse	è	entrato	dalla	finestra	il	ladro	</S>
c	0.87506694	0.12363339	0.0007970139	0.00038748494	8.892821e-05	6.962653e-06	1.2056882e-05	2.7123808e-06	4.5254337e-06
e	0.10556337	0.8345245	0.0028359573	0.05651171	0.00026526547	7.1006754e-05	2.8129782e-05	0.00019500796	5.006301e-06
f	0.21958715	0.7595095	0.016993284	0.0020031745	0.001794381	6.135656e-05	1.9834633e-05	1.547303e-05	1.5865966e-05
ò	0.0759899	0.86923337	0.0025574295	0.051612083	0.00028858316	0.00014456699	9.0631875e-05	6.8393936e-05	1.5057747e-05
r	0.013374016	0.91124666	0.062477034	0.0062007094	0.006576411	8.279668e-05	2.2727176e-05	6.726134e-06	1.2955656e-05
s	0.04100678	0.93139035	0.0074055	0.01857945	0.0006196559	0.0008014256	2.0758493e-05	0.00017536985	8.103348e-07
i	0.039406374	0.94718647	0.00034587245	0.013008769	9.801799e-06	9.831531e-06	2.1380151e-06	3.0838743e-05	2.9433675e-08
è	0.0002424671	0.45253742	0.4487776	0.018692002	0.07737284	0.00085002295	0.00029514547	3.450006e-05	0.0011980868
n	0.00018729799	0.46663466	0.30753204	0.20073374	0.020949168	0.0031506806	0.00040569223	1.7378257e-05	0.00038936612
a	0.11474699	0.50848645	0.021684855	0.16560379	0.051267836	0.06275934	0.0025595026	0.07280791	8.3354666e-05
m	9.000319e-05	0.007770979	0.499574	0.053245068	0.42539847	0.008942712	0.0028980426	0.00026474355	0.0018159683
b	0.0031324564	0.11538625	0.02253143	0.81521624	0.022764267	0.015766805	0.0015036048	0.0025171686	0.0011817658
ì	0.00035090052	0.010203595	0.005426932	0.9352227	0.038767394	0.0056221476	0.003425386	0.0009755551	5.4380234e-06
k	2.4529983e-05	0.0009539783	0.031054316	0.19409129	0.74804425	0.014114787	0.0057405564	7.0968155e-05	0.005905283
e	0.009731436	0.13120861	0.014745139	0.24587089	0.34389776	0.21211654	0.010014523	0.0323353	7.980488e-05
à	0.00014034846	0.0016109988	0.005785779	0.03979613	0.76186174	0.12651779	0.05622575	0.00437521	0.003686208
t	0.0002909844	0.0024582385	0.008441493	0.4508579	0.19429621	0.28328943	0.04535803	0.012461806	0.0025458534
t	0.0018274146	0.0107574435	0.010091384	0.11710057	0.25320828	0.5752459	0.02579921	0.0059527447	1.7087743e-05
i	0.06814878	0.07736871	0.0075655784	0.09467682	0.1910427	0.34770235	0.024752086	0.18860868	0.00013432985
f	9.603723e-05	0.0019817874	0.0023055268	0.030556662	0.16568549	0.39587304	0.3642793	0.0053771967	0.033844944
i	0.0010736146	0.0025254595	0.027773896	0.0051059416	0.09498421	0.78685427	0.07239348	0.008455871	0.00083320856
n	0.0001923796	0.0022537662	0.0020087091	0.019112213	0.02001022	0.18913127	0.6937744	0.05446414	0.019052839
è	0.0014483815	0.0016365477	0.047764044	0.0008765559	0.030240513	0.70316833	0.19148397	0.015462712	0.007918898
s	0.00015568013	0.0016821602	0.0017007161	0.010387077	0.0038387775	0.05737271	0.5975669	0.29964784	0.027648123
t	0.00022944754	0.00048785462	0.0022391716	0.00023298404	0.0075758398	0.262535	0.5967589	0.12948115	0.00045970368
r	0.011672893	0.041828305	0.0041281097	0.0015754213	0.0036758154	0.03922938	0.105841644	0.79045403	0.0015943452
a	0.0004147303	0.0026525075	0.0025049213	0.0036535896	0.003965637	0.021901364	0.7016067	0.25912228	0.004178193
o	0.00043667565	0.0053380225	0.0077447305	0.022421343	0.0044381483	0.004703592	0.19953455	0.3529452	0.40243778
l	0.0019416452	0.0035552026	0.0013039878	0.0015031727	0.0001061476	0.00053131866	0.008801701	0.93890667	0.0433501
à	0.008073393	0.01312604	0.05143362	0.0008990042	0.0037677777	0.094533704	0.33719206	0.3047539	0.18622047
d	0.00020023083	0.0016623943	0.0022944321	0.0100158155	0.0006970322	0.00069323624	0.009848826	0.86730933	0.10727862
r	0.0018366209	0.001004129	0.0012569448	1.528279e-05	0.00050438964	0.0027538806	0.01718493	0.8391288	0.13631503
o	0.0015834896	0.024620337	0.006395226	0.05107221	0.003914746	0.039700866	0.186843	0.6590941	0.02677598
</S>	0.00039065466	0.0049073314	0.006771	0.06474389	0.0025399122	0.0010573651	0.0019691742	0.1010807	0.81653994
