 	mi	sono	vestito	</S>
a39	0.37140074	0.17897993	0.22211522	0.22750407
a11	0.4529833	0.20859449	0.2513549	0.08706737
a13	0.52304345	0.10835646	0.25142393	0.1171761
a18	0.58182716	0.1443786	0.084470876	0.18932338
a31	0.29664195	0.2177637	0.25402018	0.2315741
a37	0.1476956	0.14737049	0.5169036	0.18803033
a15	0.17168933	0.16141368	0.373605	0.293292
a31	0.16555458	0.14774169	0.3621848	0.324519
a46	0.07596255	0.11984653	0.41690794	0.38728303
a31	0.085649975	0.109345876	0.48722848	0.3177756
a20	0.10986134	0.25416216	0.32360333	0.3123732
a31	0.056526028	0.09872612	0.3756607	0.46908718
</S>	0.064995356	0.03599273	0.07661473	0.8223972
