 	non	ti	dimentichiamo	mai	</S>
a8	0.08012521	0.23984767	0.07907333	0.21800971	0.38294402
a31	0.47359663	0.17576954	0.063745014	0.10905643	0.17783242
a20	0.5545194	0.28377917	0.041006323	0.05240334	0.06829178
a31	0.6722845	0.26502305	0.0150015345	0.016181553	0.031509224
a13	0.56803524	0.2888211	0.024447339	0.03302042	0.08567593
a31	0.29590407	0.3013819	0.015613318	0.031784397	0.3553164
a13	0.35926318	0.22671017	0.029586976	0.09350262	0.2909371
a1	0.1796183	0.20449471	0.010426715	0.06658676	0.5388735
a31	0.12940812	0.12568064	0.0070133083	0.08107697	0.6568209
a41	0.21957992	0.09722029	0.057925176	0.19994155	0.425333
a15	0.13767304	0.15467033	0.017923513	0.2432157	0.44651744
a13	0.11584841	0.10196949	0.012489448	0.11154885	0.6581438
a31	0.09436021	0.07907656	0.011161953	0.08417929	0.731222
a11	0.25097975	0.120474204	0.06186859	0.20499834	0.3616791
a31	0.106090255	0.0756243	0.022337895	0.2847511	0.5111965
a46	0.037527073	0.02660454	0.052388772	0.22636688	0.6571127
a31	0.023074897	0.013729681	0.078612335	0.30120966	0.5833734
a46	0.009427038	0.011847409	0.053257648	0.30201316	0.62345475
a31	0.00539155	0.006606526	0.06969568	0.30459502	0.6137112
</S>	0.012769689	0.016717926	0.06546938	0.36025038	0.54479265
