 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.048393685	0.040213022	0.028897185	0.027359692	0.044089213	0.02522101	0.024527963	0.012163137	0.014650627	0.021397348	0.025804084	0.040140435	0.05252279	0.02596109	0.04822635	0.056064762	0.030076416	0.050881907	0.066829935	0.06722497	0.011707811	0.05604137	0.03521701	0.014536171	0.022585548	0.10926639
a31	0.07913563	0.06779641	0.0661067	0.08551351	0.09733781	0.022179972	0.036853015	0.014809151	0.019724177	0.016594615	0.032926355	0.06755143	0.036263227	0.025140027	0.023750782	0.021965548	0.012695626	0.015681252	0.042019542	0.04938489	0.019129245	0.024225509	0.020352026	0.031201692	0.032923467	0.03873843
a1	0.07840616	0.050216302	0.036393743	0.035768796	0.04904541	0.030922832	0.03319323	0.011855665	0.0155180795	0.025617093	0.034330714	0.045076568	0.054984275	0.032675304	0.037564307	0.05188744	0.017803488	0.045774348	0.08234266	0.06250629	0.008936025	0.04424995	0.027579894	0.023322891	0.04063734	0.023391178
a35	0.036829688	0.022582829	0.017194744	0.0075870226	0.0086043095	0.007350313	0.006213122	0.006867082	0.015710274	0.018677883	0.016609985	0.024131762	0.13066998	0.022149865	0.035325807	0.045303896	0.042003326	0.05085096	0.055822596	0.061131828	0.051053535	0.08150968	0.15222526	0.01085649	0.02477847	0.04795933
a31	0.028760394	0.05128513	0.011169949	0.0095022535	0.030567802	0.0145933125	0.027498517	0.016132355	0.032216705	0.022369632	0.0167173	0.014822541	0.19668563	0.033840142	0.020339549	0.014111973	0.017137555	0.017118437	0.023795813	0.027027873	0.026937284	0.04379057	0.06899718	0.013106983	0.10968771	0.1117874
a7	0.043916203	0.086001016	0.0074915	0.00745103	0.012141753	0.008560127	0.009772171	0.010921054	0.011298492	0.009815377	0.008707162	0.009164696	0.06784838	0.01243131	0.011057596	0.013856515	0.021492615	0.020570707	0.026261246	0.03739858	0.12784651	0.053470813	0.23662388	0.019420817	0.038335923	0.08814448
a31	0.0149906175	0.026788326	0.010280736	0.004785689	0.008147248	0.011057028	0.012942386	0.013338883	0.01284201	0.013312405	0.012047022	0.024098182	0.0581336	0.019332638	0.03220651	0.030812744	0.037592564	0.036655217	0.041846402	0.05659687	0.067157716	0.08679789	0.13138647	0.031482182	0.08852779	0.11684085
a24	0.04077094	0.028282993	0.005248046	0.003946024	0.0065409224	0.005924937	0.007253201	0.00932207	0.0074757887	0.007410167	0.006561365	0.01760952	0.039845873	0.018258573	0.018303959	0.015900813	0.020764003	0.019429766	0.025302988	0.039479937	0.06256405	0.061999604	0.12297892	0.059360586	0.11968095	0.22978401
a46	0.009107877	0.01768236	0.006185994	0.0048262137	0.0052680485	0.00806146	0.008700866	0.015714863	0.013414166	0.012638518	0.010399631	0.022562485	0.030087741	0.0301651	0.0238077	0.019677205	0.024011191	0.024254065	0.031362645	0.08013245	0.10184978	0.10877687	0.15544586	0.019826025	0.10401586	0.112024955
a24	0.008193051	0.015994629	0.005594012	0.0041419365	0.00533462	0.006687685	0.007714292	0.013782447	0.017059106	0.01566562	0.009061533	0.021950403	0.03614147	0.039592937	0.03539841	0.026088068	0.02677328	0.03472631	0.04481342	0.08953104	0.109025985	0.10099966	0.14545956	0.01021977	0.057845276	0.11220545
a46	0.006554032	0.0151244225	0.006978063	0.0063053146	0.004531172	0.0070230938	0.007082176	0.009826646	0.013931889	0.013011802	0.008426084	0.019690782	0.031215325	0.025056966	0.033994727	0.027850492	0.025395667	0.033248577	0.039117943	0.09014568	0.14358193	0.1208356	0.15735736	0.0024780366	0.028907202	0.12232902
a31	0.014521491	0.020716162	0.005852878	0.0048560845	0.009756795	0.0061817165	0.0074496823	0.00808624	0.011649783	0.011328139	0.007122168	0.01574036	0.036370054	0.020765472	0.030433016	0.024155071	0.024581332	0.03148541	0.040636294	0.09316625	0.10088737	0.1126421	0.16981521	0.0052634687	0.055873387	0.1306641
