 	forse	sono	usciti	</S>
a23	0.39778236	0.08762272	0.15137082	0.36322406
a31	0.23737428	0.25435182	0.26413015	0.24414371
a23	0.35706905	0.20463687	0.23428579	0.20400827
a31	0.25741532	0.18257889	0.28329635	0.2767094
a10	0.51077473	0.09380195	0.13493273	0.2604906
a37	0.11790178	0.15837651	0.44306687	0.28065485
a31	0.062353704	0.11358843	0.58118397	0.24287386
a37	0.07672747	0.08575324	0.3794851	0.45803422
a31	0.023030696	0.10603188	0.3719614	0.49897602
a39	0.031781938	0.06190544	0.17871548	0.7275972
a31	0.013077212	0.09437492	0.195556	0.69699186
</S>	0.027622856	0.051805567	0.13164154	0.78893006
