 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.19965708	0.1272825	0.22020726	0.2096267	0.042695113	0.043607645	0.15692374
a31	0.14822523	0.38859424	0.34973297	0.037699405	0.019117871	0.035355352	0.021274954
a6	0.1599956	0.37878793	0.37506047	0.046207223	0.013602782	0.012351777	0.013994195
a31	0.32107237	0.33544627	0.16785686	0.11876717	0.012245077	0.015034884	0.029577326
a37	0.15935823	0.20346652	0.15933146	0.09825111	0.026111884	0.26842514	0.085055634
a31	0.12119986	0.13229051	0.11989267	0.13210046	0.11814777	0.2403965	0.13597222
a17	0.044703834	0.11589227	0.120679244	0.04625424	0.023218405	0.4990463	0.1502057
a31	0.055349402	0.11146075	0.10274006	0.13818735	0.07506664	0.37280655	0.14438927
a17	0.037175365	0.07247828	0.057989646	0.029050166	0.028983861	0.46814188	0.3061808
a31	0.030078858	0.10570019	0.08310112	0.08978602	0.08195749	0.3378463	0.27152997
a8	0.036486574	0.074002475	0.035457086	0.026113493	0.038434517	0.3537449	0.43576097
a31	0.010670258	0.04319722	0.039783303	0.031022387	0.07308739	0.36891508	0.43332443
a28	0.039013676	0.056367848	0.02291745	0.029218014	0.061132178	0.42695627	0.36439455
a0	0.0125247175	0.042973522	0.042778328	0.027169907	0.03561471	0.17550118	0.66343766
a41	0.0064419317	0.04709713	0.043379936	0.018301006	0.02336384	0.13569519	0.7257209
a39	0.010571914	0.04519478	0.06047188	0.02187059	0.024935396	0.42061225	0.41634315
a31	0.013583753	0.029597666	0.03126141	0.024657896	0.014015677	0.7067837	0.18009987
a39	0.033180702	0.08106854	0.04288901	0.05164275	0.07416113	0.091597944	0.62545997
a31	0.0062905652	0.056557123	0.047820576	0.014197611	0.013518547	0.1508901	0.71072555
a18	0.029107511	0.0338958	0.070035756	0.15357803	0.11762045	0.10847363	0.4872889
a31	0.01458885	0.055212434	0.045707833	0.037122935	0.0361328	0.15544537	0.6557898
a18	0.021470403	0.031304684	0.086941466	0.14382102	0.15604286	0.07411968	0.4862999
a31	0.013217616	0.04648043	0.05031293	0.07886356	0.08940345	0.15706556	0.56465644
a39	0.024658121	0.052206356	0.09832935	0.12210673	0.1697141	0.07440635	0.458579
a41	0.013091702	0.03248013	0.053621687	0.10058621	0.10777722	0.17661199	0.51583105
a8	0.014441963	0.07852881	0.062027477	0.050651867	0.052703474	0.24552822	0.49611822
a31	0.0017720585	0.015411058	0.008922699	0.018648405	0.109106615	0.6042573	0.24188192
a46	0.010827258	0.01361474	0.034249198	0.07571424	0.07412696	0.054130934	0.7373367
a8	0.0053347237	0.012294929	0.025764309	0.06440441	0.075937815	0.3075623	0.5087015
</S>	0.0016947747	0.008129428	0.006763681	0.011786441	0.05687198	0.60584223	0.30891147
