 	si	è	rotta	la	coppa	</S>
a31	0.24517123	0.27649212	0.27947783	0.07923766	0.058738936	0.06088217
a20	0.24098717	0.26262385	0.19182524	0.15530251	0.09394146	0.05531979
a19	0.37564507	0.21812782	0.049317572	0.029456507	0.029418033	0.29803497
a18	0.3782326	0.31727862	0.07979782	0.025254821	0.023092132	0.176344
a27	0.3778782	0.26656392	0.08706156	0.055732984	0.035899736	0.17686364
a31	0.28665453	0.26247767	0.17390074	0.07341601	0.065730974	0.13782004
a39	0.059290558	0.08283153	0.023736892	0.0098013235	0.04692726	0.7774124
a31	0.07025111	0.07678793	0.0136756515	0.0068779066	0.03413647	0.79827094
a46	0.109339416	0.17967202	0.017125478	0.036166344	0.15734513	0.50035155
a31	0.10273672	0.1096935	0.016279945	0.03280375	0.2825767	0.45590934
a20	0.09503769	0.04259233	0.02777059	0.09439984	0.29450458	0.44569504
</S>	0.05736847	0.030075401	0.008941663	0.06145484	0.39372575	0.44843394
