 	l	ha	scritta	</S>
a20	0.30079857	0.37219334	0.23577045	0.0912377
a31	0.2761895	0.19207153	0.26553744	0.26620156
a35	0.41596517	0.28287554	0.16923994	0.13191934
a31	0.31013498	0.16977504	0.24912995	0.27096
a35	0.16949715	0.23068449	0.33055955	0.26925877
a31	0.2128925	0.25882787	0.38545182	0.14282782
a41	0.12239047	0.24034229	0.290464	0.34680322
a31	0.13257097	0.24734679	0.29917887	0.32090342
a11	0.10967975	0.23909572	0.28969264	0.36153185
a18	0.060875297	0.13191488	0.2478623	0.5593475
a13	0.027864203	0.06594931	0.2836619	0.6225246
</S>	0.015688973	0.06441779	0.31671163	0.6031816
