 	ho	cosa	a	fare	</S>
a23	0.19511063	0.27873874	0.22501595	0.12489492	0.17623986
a17	0.34566775	0.1680087	0.10213145	0.18411477	0.20007735
a31	0.3831576	0.19276108	0.10416792	0.18544094	0.13447244
a8	0.3236915	0.26565558	0.21398446	0.0572063	0.13946216
a31	0.38390046	0.26403424	0.117622234	0.11204414	0.12239887
a13	0.22537868	0.22604592	0.14306946	0.24530497	0.16020101
a24	0.05805627	0.12723108	0.08301103	0.26619187	0.46550977
a31	0.05228258	0.10167946	0.07929276	0.2841545	0.48259065
a13	0.040067196	0.04856807	0.051810678	0.36298102	0.49657303
a31	0.03677104	0.039795365	0.046448685	0.3108565	0.56612843
a18	0.02352206	0.05565617	0.045086905	0.42691565	0.44881916
a0	0.0076368568	0.014094301	0.0491951	0.47260603	0.4564677
a39	0.003144037	0.0061161215	0.037020504	0.41239914	0.54132015
</S>	0.0032793672	0.004830673	0.033854593	0.33128837	0.626747
