 	ancora	sto	cucinando	e	non	sono	pronto	</S>
a8	0.090564825	0.09074804	0.106793456	0.051599804	0.04048583	0.09757286	0.17746504	0.3447701
a31	0.24894539	0.21995181	0.18143584	0.057422616	0.05919019	0.06437428	0.07487252	0.093807384
a37	0.3677158	0.32815695	0.10464907	0.03282922	0.03390697	0.03651904	0.041598454	0.05462443
a20	0.32226905	0.31412965	0.1342697	0.02084932	0.01068694	0.022306075	0.05129217	0.12419716
a29	0.21980171	0.13014714	0.04121984	0.016214138	0.004008474	0.018108187	0.24734001	0.3231605
a14	0.10194138	0.08638094	0.01237859	0.003475557	0.0020482773	0.01989388	0.47662	0.2972614
a21	0.081942834	0.07035073	0.00999348	0.0047609652	0.0020923389	0.027296511	0.44247296	0.36109018
a31	0.057176713	0.045879543	0.006942888	0.008181009	0.0028659208	0.025785688	0.3623109	0.4908573
a20	0.44163254	0.17289959	0.020282187	0.00823624	0.030318677	0.023781288	0.16243137	0.14041816
a6	0.017902946	0.012273908	0.0009987858	0.0018513725	0.008635194	0.055646766	0.3526324	0.5500586
a31	0.03780646	0.01896824	0.0029941094	0.007642839	0.0068614124	0.035889752	0.26335776	0.62647945
a8	0.07307249	0.041916758	0.009235011	0.0054289363	0.03304233	0.0659844	0.3592178	0.41210228
a20	0.003334084	0.0019221503	0.0006757988	0.0020465143	0.021204997	0.1212598	0.6645673	0.18498941
a31	0.0020866601	0.0013613082	0.0008219621	0.0043471013	0.03013458	0.12254129	0.6086147	0.23009248
a37	0.009567535	0.013540304	0.0056058518	0.013298999	0.029649708	0.12164558	0.398871	0.407821
a31	0.0029344219	0.0050434303	0.0014563173	0.0053965407	0.054196946	0.17695343	0.4535907	0.30042827
a24	0.006260637	0.013984807	0.013994442	0.035028424	0.09523301	0.20651008	0.34861335	0.2803753
a31	0.0037396087	0.0063429875	0.0052571376	0.014175214	0.12298678	0.20740828	0.45119587	0.18889421
a20	0.007908698	0.010298288	0.021334093	0.046316672	0.15735467	0.23792022	0.24813673	0.27073064
a31	0.0077196592	0.0104618	0.0055592586	0.04666207	0.112486444	0.2427958	0.3583928	0.21592213
a7	0.008441813	0.00925127	0.019398222	0.06077535	0.1615256	0.25401586	0.2497218	0.23687008
a35	0.0066117076	0.010760946	0.00555569	0.061851807	0.12304628	0.26709136	0.30433077	0.2207514
</S>	0.0049554505	0.0052710646	0.026060631	0.2506836	0.24154216	0.19692074	0.13514486	0.13942154
