 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.18795855	0.11794955	0.07068864	0.066794544	0.043082982	0.039290585	0.12815079	0.155339	0.19074537
a13	0.1560399	0.15346633	0.14719793	0.12639464	0.028416803	0.06736919	0.08167504	0.09659557	0.14284459
a0	0.17778754	0.17815307	0.14336927	0.094125785	0.027992075	0.0589524	0.08156815	0.09254313	0.1455086
a31	0.30798948	0.28288782	0.074482694	0.044878587	0.009283043	0.024392493	0.054292344	0.107086584	0.09470706
a18	0.20079984	0.24305227	0.07053391	0.022807974	0.015385318	0.12764184	0.042040557	0.099741794	0.17799655
a31	0.1345599	0.1873464	0.080648914	0.028178604	0.016885173	0.13828179	0.02152834	0.13208061	0.26049027
a28	0.08271479	0.15589957	0.13276426	0.06767554	0.020896662	0.15448967	0.09782024	0.0668647	0.22087456
a20	0.05229614	0.10223935	0.04618702	0.025147894	0.017645571	0.21108621	0.019909479	0.118519805	0.40696844
a31	0.03278366	0.041633446	0.01386211	0.0071774744	0.0050176107	0.107507706	0.018328222	0.18349597	0.59019387
a7	0.109495185	0.17766729	0.15469493	0.086691804	0.027791886	0.08414688	0.13518593	0.073389314	0.15093675
a38	0.020256167	0.04370879	0.030550908	0.02153605	0.020277545	0.14464758	0.054961633	0.21698816	0.4470732
a24	0.020390898	0.02931931	0.015560021	0.009239579	0.0051831366	0.10530186	0.041127365	0.18738855	0.5864893
a46	0.03334478	0.07100734	0.0281869	0.014290268	0.004910192	0.061692875	0.050498705	0.11760751	0.61846143
a31	0.052684978	0.108911574	0.035254534	0.018197898	0.0059482097	0.10874758	0.061773606	0.107206	0.5012756
a38	0.12899803	0.13737492	0.06739732	0.05490111	0.030637126	0.04863045	0.08712052	0.11167164	0.33326888
a31	0.0627925	0.07513787	0.02283682	0.018377068	0.021230916	0.046272434	0.13912761	0.14047566	0.47374916
a13	0.04738568	0.04756996	0.039086048	0.040940724	0.028365014	0.03519705	0.044470154	0.07088336	0.64610195
a31	0.018286442	0.021772476	0.018547462	0.023089217	0.022065891	0.051820543	0.11950093	0.26883218	0.45608494
a8	0.05846932	0.06191899	0.034517866	0.023641108	0.028987722	0.04148555	0.04669554	0.11162841	0.59265554
a20	0.009420226	0.01969121	0.011894035	0.009848802	0.01658573	0.029065998	0.23003332	0.49651605	0.17694457
a31	0.009334289	0.017379178	0.013682469	0.008817629	0.019695023	0.17186941	0.17697091	0.3381389	0.24411218
a15	0.021287179	0.028528543	0.015352097	0.015394388	0.043775648	0.05215358	0.041977685	0.19966456	0.58186626
a31	0.009112757	0.010521137	0.0047005927	0.0037624382	0.014516726	0.017054323	0.08571222	0.43442214	0.4201976
a20	0.02537223	0.037214465	0.02622255	0.016652461	0.05046934	0.018950384	0.062868774	0.26494938	0.4973004
a39	0.010255193	0.012047955	0.0063221916	0.0059901304	0.018064944	0.020405242	0.18270478	0.37532714	0.36888242
a31	0.007404364	0.011164543	0.0041825185	0.0076284837	0.026284076	0.12795398	0.1596242	0.4230778	0.23268005
a8	0.024502167	0.02913098	0.018423524	0.011988603	0.030924859	0.011336958	0.0858328	0.41979876	0.3680613
a31	0.018915882	0.022692742	0.017044116	0.015025195	0.029304108	0.03766083	0.2620586	0.27634516	0.3209533
a37	0.015408171	0.022505412	0.016741365	0.012852212	0.032787327	0.010875871	0.09816135	0.431008	0.3596603
a20	0.008271537	0.015587395	0.008599864	0.014104751	0.033095215	0.015200309	0.17750043	0.2888086	0.4388319
a8	0.005903276	0.012233304	0.0050169975	0.01641871	0.07118456	0.12784424	0.17715442	0.37979457	0.20444982
a20	0.004436787	0.020515453	0.02149122	0.037601408	0.08567974	0.15324867	0.19092591	0.3255367	0.16056412
a31	0.0044135284	0.014457936	0.018388098	0.040863786	0.07165926	0.17550182	0.10767282	0.37817162	0.18887116
</S>	0.0140322	0.017032644	0.005716202	0.004093969	0.015846772	0.020074245	0.07517467	0.26934543	0.57868385
