 	mia	figlia	vuole	andare	</S>
a46	0.15530403	0.12971994	0.11309106	0.18807442	0.41381052
a31	0.68122214	0.043364815	0.03408168	0.13127868	0.11005266
a7	0.6776276	0.073763594	0.055557087	0.10394968	0.08910206
a20	0.5909737	0.1582552	0.13431667	0.055425607	0.0610289
a31	0.315271	0.17390448	0.12586252	0.15692055	0.2280414
a46	0.12469647	0.033851847	0.04517272	0.3307728	0.4655061
a31	0.09254045	0.016249096	0.058020312	0.52860755	0.3045826
a46	0.06890279	0.0034963354	0.006621563	0.26887858	0.65210074
a31	0.046421148	0.004115597	0.012387959	0.4589522	0.4781232
a11	0.07589868	0.006339508	0.017523248	0.24626534	0.6539733
a3	0.040251788	0.0041115126	0.012012552	0.42551857	0.51810557
a31	0.009096695	0.003063012	0.016676564	0.43149745	0.53966624
a27	0.015097424	0.01191822	0.04877721	0.40271658	0.5214905
a0	0.02913674	0.012584137	0.045954157	0.27157855	0.6407464
</S>	0.032228123	0.010357081	0.07077024	0.3284594	0.55818516
