 	non	aveva	da	stare	</S>
a37	0.1907891	0.3277065	0.41159648	0.033663083	0.036244843
a38	0.12782869	0.20462124	0.4310018	0.10210836	0.13443987
a24	0.1456686	0.17788522	0.27830842	0.18063268	0.21750508
a8	0.08513581	0.08725556	0.071234874	0.7040148	0.05235895
a17	0.028829262	0.042677302	0.1368942	0.27628458	0.5153147
a31	0.18731363	0.24779887	0.25363812	0.26133734	0.04991204
a20	0.14537655	0.17519177	0.13352495	0.44402283	0.10188391
a8	0.029471897	0.03272301	0.033141382	0.7378122	0.16685145
a31	0.067847796	0.095174946	0.09534713	0.1760665	0.5655636
a20	0.19822977	0.25980935	0.25055566	0.15242992	0.13897528
a31	0.10345649	0.10319369	0.16451417	0.36457625	0.2642594
a8	0.04800762	0.05515632	0.036625795	0.10973924	0.750471
a31	0.12905282	0.10019621	0.15321237	0.2778391	0.3396995
</S>	0.021589212	0.018321278	0.038513828	0.049731072	0.8718446
