 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	0.10727554	0.16322628	0.08462111	0.070178255	0.05864346	0.03960061	0.054617632	0.022990879	0.031585995	0.09360394	0.2736563
a31	0.23784137	0.27843207	0.07913576	0.06859925	0.04508629	0.01900785	0.05785454	0.05589609	0.04008311	0.05518041	0.062883265
a20	0.3007635	0.3158775	0.053128205	0.038185365	0.021910837	0.010241673	0.069204435	0.08377116	0.034533706	0.032563105	0.03982052
a13	0.18740718	0.17624211	0.074729584	0.05642053	0.02470528	0.017113373	0.14183034	0.07926177	0.047340553	0.12639217	0.06855714
a37	0.1525456	0.11275067	0.09176318	0.14646849	0.027689015	0.013005063	0.06840369	0.04420847	0.013120642	0.06792427	0.26212096
a31	0.06564106	0.078024544	0.18101424	0.14355883	0.032838363	0.033904467	0.08367403	0.04934701	0.022805568	0.12018856	0.18900333
a43	0.09819753	0.2849552	0.073019385	0.057004668	0.025512489	0.020206094	0.18914555	0.06053698	0.03187328	0.030548867	0.12899989
a31	0.107059054	0.09554242	0.036508992	0.07092808	0.031333163	0.016649805	0.02347516	0.020326948	0.003977613	0.12757002	0.46662873
a24	0.086003184	0.1324838	0.038157105	0.050357424	0.031927858	0.03964305	0.039083622	0.019154426	0.027428092	0.08540425	0.45035723
a7	0.030839233	0.047050457	0.019395072	0.03038865	0.017188268	0.029866533	0.014600288	0.0059327297	0.02857968	0.15795352	0.61820555
a31	0.036536794	0.10515518	0.024581408	0.022779025	0.01924267	0.03453673	0.07133416	0.025058907	0.057946105	0.2726892	0.3301398
a13	0.020025263	0.05390567	0.01639366	0.017987708	0.017458122	0.03703775	0.02074669	0.016409189	0.048792083	0.25040367	0.5008402
a28	0.017648155	0.043859985	0.008951303	0.014547256	0.016104897	0.03302157	0.029334364	0.010943776	0.123592466	0.23668092	0.46531534
a20	0.028460663	0.06701911	0.009574673	0.011381243	0.022038985	0.021767728	0.07095465	0.056981623	0.14705038	0.2327253	0.33204558
a31	0.016269518	0.035697717	0.008373409	0.008044706	0.011499832	0.020367078	0.1173918	0.063073106	0.18419601	0.10362858	0.4314583
a37	0.020177942	0.027113454	0.0052814824	0.0065101646	0.011569854	0.019464197	0.023615869	0.018643687	0.09161488	0.27692825	0.49908027
a1	0.024159819	0.022232736	0.0025048004	0.0051928367	0.011341723	0.014479281	0.02440334	0.050085496	0.12798066	0.31247926	0.40514004
a28	0.013630961	0.013057062	0.0017999316	0.0026698378	0.010840117	0.029363904	0.048531346	0.087990776	0.18197204	0.25229394	0.35785013
a1	0.01234912	0.01579945	0.002650035	0.004939862	0.01688869	0.045699816	0.06779353	0.08056456	0.19726296	0.23900393	0.31704807
a28	0.011624509	0.027778976	0.0075839744	0.012382961	0.029634574	0.07952188	0.028854953	0.07595976	0.10481611	0.21925178	0.4025905
a31	0.009728005	0.02678438	0.0073128487	0.011019162	0.028760957	0.06821935	0.03159262	0.059094295	0.15612885	0.21417397	0.38718554
a20	0.014167657	0.0316129	0.0023767874	0.0032372754	0.008481221	0.015441921	0.02415917	0.05890792	0.20009787	0.3565783	0.28493896
a31	0.0057104444	0.010241095	0.00091934076	0.0033152418	0.0118673425	0.03389217	0.08983667	0.18258464	0.16512896	0.22445413	0.2720499
a20	0.021580953	0.040819906	0.009391658	0.01787955	0.015192611	0.019091427	0.041832995	0.06974413	0.20278575	0.30392873	0.2577523
a31	0.008928318	0.034022983	0.0017110389	0.004214795	0.0145857185	0.027122604	0.054028496	0.2682106	0.1959824	0.1666396	0.22455342
a8	0.018929334	0.04044177	0.023874372	0.025458025	0.016526252	0.015445912	0.05504701	0.06969861	0.18352254	0.26460576	0.28645048
</S>	0.004699128	0.018711649	0.010805161	0.009522766	0.007912086	0.0066048466	0.040563665	0.21290755	0.29007065	0.1692776	0.22892493
