 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.09527531	0.06899718	0.16204342	0.05472113	0.04230625	0.013893311	0.028366767	0.17089571	0.18023433	0.18326657
a37	0.07710131	0.18600772	0.06669453	0.05120943	0.062229622	0.13380192	0.0707118	0.07304067	0.13933183	0.1398712
a31	0.333394	0.22755776	0.14137086	0.027526444	0.022998678	0.041658282	0.02128601	0.04715779	0.08011728	0.056932915
a20	0.38048908	0.2583712	0.09204321	0.031078916	0.028439833	0.030936228	0.044684615	0.029363533	0.04579584	0.058797486
a31	0.14846209	0.14568666	0.12248746	0.07957177	0.033600982	0.01834833	0.024621533	0.029326443	0.09786926	0.30002543
a13	0.3077392	0.33906233	0.037343506	0.04906091	0.046377487	0.04209443	0.05655206	0.025767524	0.030351711	0.0656508
a31	0.20652653	0.21399008	0.080501735	0.059796385	0.035870153	0.01613955	0.020911062	0.0202579	0.08174182	0.2642648
a20	0.16133931	0.28160706	0.040800624	0.07288699	0.070993446	0.051135164	0.08632221	0.045509264	0.054314956	0.13509098
a17	0.12292174	0.134175	0.0487893	0.053405356	0.03312064	0.01810688	0.017329171	0.016779326	0.15658733	0.3987853
a20	0.16270696	0.16447246	0.050254706	0.020619454	0.013031165	0.021257501	0.031841688	0.034312744	0.19027255	0.31123075
a31	0.12264138	0.11658125	0.06527186	0.019474763	0.011613453	0.02554464	0.018238762	0.033168465	0.15090315	0.43656227
a20	0.09160426	0.14285168	0.027139282	0.06534585	0.062438227	0.06813691	0.03523179	0.04831708	0.108334675	0.3506002
a31	0.053928353	0.05674077	0.021896424	0.020450607	0.013284924	0.036865406	0.03555252	0.02596852	0.26709688	0.4682156
a3	0.010548025	0.017452765	0.018754318	0.033315517	0.033642873	0.05046869	0.021238342	0.05333527	0.2151564	0.5460878
a8	0.011512982	0.023237692	0.0056637423	0.016495226	0.014105688	0.03213647	0.028070258	0.1325093	0.32140142	0.41486728
</S>	0.0023750216	0.0065595554	0.0035237232	0.035722155	0.039383437	0.16375406	0.058174185	0.09530867	0.22132987	0.37386933
