 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
a20	0.12551838	0.18413386	0.10972258	0.08956809	0.0861779	0.095064186	0.019822333	0.028162174	0.09014955	0.17168099
a31	0.3655823	0.2924152	0.07486821	0.021042632	0.028651772	0.1254216	0.026434906	0.019429492	0.022890812	0.023263091
a37	0.27126288	0.25368863	0.11974176	0.044100855	0.07837465	0.18278572	0.02811516	0.007756081	0.0073961397	0.006778158
a21	0.19674218	0.19412692	0.16520557	0.13054346	0.12179324	0.13125822	0.024314122	0.0095799	0.011859576	0.014576812
a31	0.09726012	0.09705455	0.10397945	0.16093841	0.117974035	0.0995551	0.03708417	0.020062784	0.12601383	0.14007746
a7	0.0758745	0.07141945	0.14722249	0.13527945	0.1911283	0.12148978	0.039343864	0.06515614	0.055863142	0.09722297
a29	0.037182912	0.036604453	0.054358628	0.10578067	0.08603418	0.052828856	0.048303213	0.22803137	0.21865565	0.13222003
a31	0.06362671	0.06349031	0.06514916	0.09859701	0.080822535	0.07641455	0.04430357	0.09315312	0.28224465	0.1321983
a29	0.08349787	0.06778765	0.07044608	0.044164505	0.07033926	0.1359476	0.018081022	0.045926634	0.07841956	0.38538992
a31	0.054728676	0.053618204	0.056180812	0.09270209	0.116036065	0.13768981	0.058799166	0.096795075	0.11416847	0.2192816
a41	0.09594305	0.0851569	0.04408206	0.043953575	0.04575254	0.094482586	0.011041763	0.050383482	0.08654398	0.4426601
a18	0.052494295	0.051007293	0.03845363	0.09217075	0.094868116	0.1134793	0.023413982	0.058771428	0.05951806	0.41582313
a31	0.043031722	0.041463442	0.049553443	0.09757976	0.12265438	0.13769515	0.03767507	0.09555055	0.079893894	0.29490262
a37	0.16321343	0.12304035	0.03788346	0.037111394	0.03379383	0.08090017	0.018428193	0.043869782	0.12023375	0.3415257
a3	0.040250897	0.032544494	0.04678371	0.072506435	0.095252626	0.16076605	0.023862507	0.045120265	0.047669794	0.4352432
a21	0.020470606	0.018970437	0.08207029	0.09835197	0.15823165	0.14328209	0.03429049	0.1369898	0.053576924	0.25376573
a31	0.05719101	0.059368778	0.054081086	0.11764727	0.09224217	0.08480497	0.036506668	0.29018697	0.07085611	0.13711497
a37	0.109501965	0.087996826	0.033941958	0.03276381	0.033528134	0.040426902	0.019389328	0.04360667	0.20878212	0.39006236
a31	0.04819104	0.045034274	0.038426276	0.0439523	0.03844519	0.049600936	0.016286075	0.12112175	0.101943396	0.49699873
a28	0.039117876	0.05822851	0.024013424	0.02398656	0.02003221	0.017507445	0.024643147	0.04352157	0.32932645	0.41962284
a31	0.06235339	0.06337113	0.041205548	0.039982744	0.031075507	0.028100934	0.017035194	0.15652089	0.26169637	0.29865828
a8	0.021816524	0.021405872	0.026121465	0.01500277	0.010803628	0.008948351	0.025136475	0.033329695	0.36526614	0.47216904
a31	0.019717742	0.060211964	0.021341305	0.016309233	0.013937037	0.0141382255	0.03345592	0.11556475	0.393189	0.31213483
</S>	0.021308392	0.01807068	0.053587303	0.019100556	0.014271381	0.015812322	0.035830557	0.04685938	0.3744935	0.40066594
