 	deve	essere	bianco	</S>
a31	0.4914801	0.29074147	0.08039098	0.13738747
a11	0.64052945	0.10343654	0.075668946	0.18036504
a31	0.74743813	0.1382882	0.033278346	0.080995314
a37	0.762639	0.1642732	0.034930352	0.038157433
a31	0.790276	0.12562689	0.024505075	0.059592105
a37	0.66208595	0.20800392	0.08238062	0.04752951
a31	0.6683294	0.14283475	0.025330558	0.16350526
a20	0.47825223	0.29541674	0.13196842	0.0943626
a31	0.59701127	0.12798949	0.047061395	0.22793785
a0	0.307066	0.22957781	0.2517147	0.21164154
a31	0.3328903	0.08336579	0.12277887	0.46096507
a20	0.09173486	0.13190413	0.35784966	0.4185114
a18	0.051754326	0.024683325	0.35129258	0.5722698
</S>	0.02488373	0.022739364	0.24899036	0.7033866
