 	che	consuma	poco	benzina	</S>
a31	0.2618471	0.14359559	0.09096103	0.26303264	0.2405636
a41	0.27367616	0.22210154	0.22550508	0.116581745	0.16213551
a31	0.29910597	0.21751449	0.17757855	0.1941573	0.11164361
a28	0.2718639	0.18928984	0.21947429	0.23220707	0.08716492
a24	0.18027699	0.17312028	0.2708219	0.2920806	0.083700135
a31	0.2348299	0.22196662	0.25814554	0.22363716	0.06142078
a11	0.20363101	0.13684711	0.14165016	0.0902459	0.42762583
a31	0.13158149	0.106761836	0.3808776	0.14336857	0.23741047
a46	0.04561047	0.02894992	0.037808917	0.06193592	0.82569474
a31	0.080770604	0.029766416	0.1805951	0.14750181	0.5613661
</S>	0.010133476	0.004847226	0.015252286	0.035838764	0.93392825
