 	che	vende	buon	pane	</S>
a17	0.13500749	0.47426003	0.08647381	0.11786645	0.18639219
a31	0.6140096	0.21092759	0.051438175	0.059240542	0.064384036
a11	0.63621956	0.26761	0.022607923	0.044280484	0.029282039
a39	0.5508713	0.29152128	0.09466426	0.031895198	0.03104787
a35	0.33526495	0.33323765	0.10664886	0.08423236	0.14061609
a39	0.2065927	0.19554006	0.068656854	0.31815508	0.2110553
a31	0.34891003	0.34542382	0.057375953	0.14378135	0.10450883
a24	0.1626278	0.23150127	0.14019072	0.35669306	0.108987205
a18	0.1567378	0.20983711	0.0655548	0.32430997	0.24356036
a31	0.11385271	0.12867431	0.10534712	0.4512467	0.20087913
a13	0.21223737	0.46555483	0.031862345	0.110569574	0.1797759
a31	0.040835492	0.11324916	0.012761326	0.17517413	0.6579799
a46	0.044643722	0.21869223	0.019882392	0.06373045	0.65305126
a8	0.010639981	0.027626825	0.008839954	0.17129774	0.78159547
</S>	0.012102999	0.04633722	0.03517536	0.29681894	0.6095655
