 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
a31	0.04837644	0.044418454	0.2017373	0.09044717	0.120382555	0.09564751	0.034926686	0.009205431	0.012856571	0.012694616	0.016401367	0.013929434	0.0333383	0.014036927	0.039824814	0.06842303	0.1433534
a29	0.024785936	0.04106594	0.2057794	0.02779742	0.029519284	0.01919493	0.027501553	0.04435289	0.058252938	0.08766806	0.11372635	0.11620211	0.06729764	0.021864275	0.012373675	0.057843793	0.04477371
a35	0.07018456	0.05631918	0.05412992	0.056416664	0.055116273	0.04659307	0.020146102	0.025143614	0.035784926	0.13158011	0.08873716	0.06482601	0.042276565	0.013486314	0.006154402	0.034847554	0.19825758
a31	0.114902236	0.07459624	0.04477665	0.07858959	0.06859112	0.06363076	0.01122619	0.0037684673	0.017635731	0.038198616	0.028059661	0.02400777	0.047721222	0.0035727038	0.007127872	0.2054632	0.16813198
a39	0.046424225	0.0422472	0.042032138	0.0422083	0.042311773	0.04918467	0.022575991	0.02675134	0.028018404	0.1111884	0.048637398	0.043088425	0.03007724	0.031096872	0.026423546	0.052023176	0.3157109
a29	0.057329446	0.04803218	0.029782968	0.04885238	0.045333635	0.037750077	0.011881601	0.012464831	0.02578977	0.099052586	0.07506305	0.077818975	0.054923043	0.012955197	0.015868293	0.12002526	0.22707674
a11	0.019348513	0.019277267	0.018928094	0.019652614	0.021254364	0.05610717	0.013537352	0.018460913	0.03521461	0.06483385	0.048347116	0.06434393	0.030800551	0.023323325	0.059102472	0.16802585	0.319442
a24	0.02068424	0.020569513	0.020027583	0.020796444	0.021664603	0.04757588	0.022454612	0.029185854	0.069327034	0.050532993	0.0771916	0.09446987	0.053392243	0.014507352	0.03902491	0.1995742	0.19902113
a31	0.021435758	0.021367889	0.021117318	0.022123769	0.0253737	0.07491662	0.022676554	0.03325962	0.066028856	0.06753777	0.082495555	0.08765563	0.051297903	0.024383772	0.05081439	0.1390495	0.18846542
a28	0.016996503	0.015595217	0.014487476	0.04268108	0.059177414	0.06400699	0.0082968315	0.025306633	0.024987388	0.13004406	0.044369187	0.06666699	0.027221715	0.10291088	0.082982816	0.05232979	0.22193898
a31	0.014752292	0.014693156	0.014511527	0.016481461	0.023693902	0.06270578	0.008844487	0.027205799	0.030017419	0.13400303	0.05062764	0.063357085	0.03340804	0.0638072	0.068491675	0.09455598	0.27884355
a0	0.019432066	0.01834038	0.016713712	0.04819413	0.06770382	0.049387522	0.008511165	0.018591259	0.027283996	0.052125804	0.05261957	0.06994377	0.07164322	0.0786666	0.05465913	0.10984739	0.2363365
a20	0.012269697	0.012275291	0.011686874	0.014397518	0.0230561	0.061077002	0.008086567	0.01599596	0.027307235	0.060604893	0.04782588	0.06624948	0.06892207	0.13438216	0.102471165	0.13204479	0.2013473
a31	0.01966087	0.019211713	0.016728621	0.019781558	0.02221161	0.06745027	0.009443907	0.021768292	0.04109463	0.11122899	0.06703422	0.07782877	0.067018576	0.06004127	0.041474544	0.12354723	0.21447496
a13	0.017964177	0.015694637	0.0104948925	0.038749233	0.054218296	0.041835014	0.006100223	0.010044496	0.022477444	0.039493926	0.05950597	0.07406083	0.08839379	0.03579196	0.030314876	0.14091484	0.3139454
