 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
a31	0.21776287	0.040429343	0.08070905	0.040730476	0.024703715	0.042487968	0.03110098	0.036512386	0.038589034	0.09001554	0.13184135	0.22511722
a10	0.05234529	0.03137964	0.029884648	0.040121473	0.11410292	0.13854116	0.045809235	0.033803005	0.044075325	0.1261925	0.1364423	0.20730253
a20	0.05626812	0.05387329	0.024478124	0.08189084	0.17990123	0.118180215	0.032640446	0.016258245	0.016881287	0.06809224	0.15543151	0.1961045
a31	0.06311633	0.016634628	0.0070562647	0.020454293	0.036561355	0.035938915	0.010157153	0.01393745	0.03267806	0.045764644	0.16522992	0.552471
a20	0.050739877	0.047359865	0.027725078	0.1051417	0.123090565	0.15738827	0.066379204	0.025912046	0.02976803	0.029270858	0.082284704	0.25493982
a31	0.036284365	0.019396024	0.00449183	0.010966508	0.021769585	0.041862022	0.009217163	0.018544374	0.049568437	0.031713128	0.41369984	0.3424868
a17	0.0330184	0.03939676	0.026451517	0.07954209	0.08531616	0.16290459	0.07359776	0.04452209	0.059221074	0.030748	0.08675075	0.2785308
a31	0.016426155	0.02119157	0.008366291	0.024966648	0.03567575	0.108149074	0.016657434	0.017106364	0.03079107	0.05534359	0.42255932	0.2427668
a26	0.02346215	0.030951083	0.02417766	0.06811295	0.07463821	0.1804276	0.069303825	0.04574426	0.060314484	0.040261317	0.07776678	0.3048397
a23	0.01815481	0.023533285	0.01583571	0.04086617	0.056976985	0.19287503	0.04101065	0.02236383	0.028148212	0.043963857	0.14849257	0.36777887
a31	0.01203862	0.018611781	0.010088296	0.022138564	0.038570825	0.0757558	0.011619416	0.02388913	0.030027911	0.08779274	0.4015638	0.26790318
a20	0.01341705	0.03935134	0.03281319	0.06327111	0.10126081	0.25180247	0.09434529	0.04997734	0.05531847	0.056600578	0.0848833	0.15695901
a31	0.010061789	0.009935051	0.00840295	0.021700913	0.03374628	0.11566173	0.036295414	0.045641035	0.11852767	0.065804124	0.24990335	0.28431973
a41	0.021529196	0.0176731	0.017085122	0.04184594	0.04745978	0.14405957	0.04570512	0.05791827	0.108228534	0.043490615	0.08437732	0.37062746
a35	0.013105753	0.010498966	0.0072693666	0.018205715	0.050547704	0.094376475	0.04807828	0.08099638	0.17197895	0.044622283	0.20643625	0.2538839
a24	0.005248883	0.004197721	0.0035249786	0.009602629	0.039004363	0.050534118	0.030039363	0.039102394	0.11024621	0.055636935	0.20624548	0.44661695
a31	0.0038493352	0.009348231	0.0068624043	0.022277996	0.037949633	0.1263108	0.032628108	0.026498245	0.059444115	0.083500855	0.16917169	0.42215863
a3	0.028568186	0.011146787	0.011177726	0.026761	0.028908476	0.106982715	0.029996498	0.0648619	0.08875491	0.04961822	0.08592932	0.46729422
a31	0.0072723436	0.00455867	0.0023316294	0.005346723	0.019475311	0.026225302	0.01650619	0.096190475	0.18898974	0.051606324	0.24369916	0.33779812
a35	0.021165129	0.016227806	0.012824269	0.025788955	0.02938068	0.11937014	0.03496849	0.10607419	0.0994369	0.08788292	0.08414094	0.36273962
a24	0.0040619974	0.004001027	0.0018464233	0.0073872535	0.01884099	0.019892275	0.026617015	0.12323882	0.19996257	0.06069955	0.121768236	0.41168383
a31	0.004056398	0.0076922406	0.005997788	0.013331005	0.03556145	0.046569318	0.028682629	0.14865032	0.2012202	0.1103203	0.15813574	0.2397826
a7	0.033643596	0.009764346	0.011931106	0.020904372	0.026399903	0.086356096	0.04191447	0.0974787	0.09886049	0.160809	0.124033004	0.2879049
a31	0.010040149	0.004771262	0.0035140757	0.008351113	0.022988772	0.024389658	0.0425905	0.13116676	0.12146818	0.102984086	0.11989509	0.4078404
a28	0.056320872	0.012954852	0.025250193	0.020886881	0.04627409	0.06737481	0.06289253	0.099643655	0.085561305	0.17376402	0.09617603	0.25290078
a38	0.018721633	0.0071864035	0.0057470477	0.012534626	0.030288888	0.032431796	0.07102635	0.11776354	0.14579794	0.1483877	0.13614538	0.27396873
a31	0.0060316366	0.0058328793	0.004021759	0.008964965	0.02044466	0.022485621	0.031049233	0.25082082	0.20651576	0.066758886	0.10088383	0.27619
a38	0.07628251	0.010192434	0.03611918	0.029196145	0.052159693	0.047420606	0.06203139	0.08192412	0.07287594	0.13777132	0.094601385	0.29942527
a24	0.0142091485	0.006311179	0.0052180192	0.01060501	0.022800004	0.023637082	0.051330827	0.2129178	0.17938238	0.08740356	0.10801668	0.27816835
a31	0.003857646	0.004949866	0.004039747	0.010469776	0.028817564	0.058268946	0.07964133	0.27267268	0.20627327	0.05457283	0.10465419	0.17178214
a27	0.057447027	0.0075143897	0.029168656	0.035240177	0.051867686	0.029631771	0.044537097	0.0520861	0.06436971	0.09919206	0.09780452	0.43114078
a31	0.009689321	0.005126529	0.0027078348	0.009811598	0.016006522	0.032135323	0.09314241	0.18835849	0.1820099	0.051484738	0.078409165	0.33111817
a28	0.08294973	0.008388395	0.028252738	0.03827057	0.050484225	0.027903726	0.061588712	0.06720468	0.08487877	0.11979975	0.09710243	0.33317629
a37	0.029243782	0.0059984033	0.0050247163	0.012459418	0.01564689	0.022941496	0.07369486	0.19308795	0.18751165	0.07082393	0.071871035	0.31169584
a46	0.00808748	0.008658169	0.0038641565	0.016222825	0.028253397	0.05881276	0.07975231	0.2193291	0.22991881	0.04346604	0.09822677	0.2054082
a31	0.0041506044	0.010949258	0.009459055	0.028401213	0.09038317	0.09427392	0.094527915	0.16824093	0.19180647	0.043577783	0.10935665	0.15487306
a33	0.04542972	0.006055096	0.021216478	0.025138646	0.033117674	0.025961056	0.032972407	0.07398713	0.08209426	0.18743044	0.11629768	0.35029945
a23	0.027585814	0.008434879	0.010993738	0.032983895	0.0229236	0.025917005	0.06840703	0.13529925	0.13917752	0.042923145	0.06471495	0.42063925
a31	0.023803767	0.010843828	0.013205313	0.042280324	0.036258016	0.049116105	0.12766922	0.17981829	0.18048641	0.036426526	0.07061888	0.22947334
</S>	0.028907722	0.005969288	0.012499097	0.024058072	0.033762753	0.010887336	0.029221138	0.051617887	0.09094943	0.11377489	0.08693269	0.5114197
