 	l	ho	sentito	che	veniva	</S>
a41	0.07823739	0.0817423	0.117347784	0.063708484	0.40367094	0.25529316
a31	0.39489946	0.13565476	0.14082222	0.1100661	0.04733215	0.17122528
a24	0.32365286	0.21290468	0.102226414	0.1393209	0.12295326	0.09894187
a15	0.1500721	0.13878037	0.060933918	0.18098873	0.26381066	0.20541427
a28	0.13168909	0.13282885	0.10591913	0.13539807	0.20809868	0.28606611
a0	0.09831169	0.10380954	0.09576478	0.11189728	0.29723433	0.2929824
a31	0.07140079	0.081533454	0.06964257	0.098789625	0.42144948	0.25718403
a11	0.054041572	0.05858541	0.05631183	0.072372034	0.25900537	0.49968383
a31	0.052541625	0.059530303	0.052849315	0.09545825	0.34622017	0.3934004
a39	0.02411654	0.070154615	0.057912316	0.111104086	0.078028224	0.65868425
a20	0.01578588	0.037860487	0.04528611	0.15834388	0.08579962	0.656924
</S>	0.0082760565	0.014300927	0.02672319	0.22380508	0.057708465	0.6691863
