 	l	ho	sentito	quando	veniva	</S>
a31	0.06884493	0.10239873	0.1262608	0.07090285	0.46427146	0.16732123
a46	0.024182923	0.077853255	0.039484967	0.011607936	0.07266971	0.7742012
a41	0.13781597	0.13993825	0.09306729	0.10633679	0.3049953	0.21784641
a31	0.17646162	0.1773651	0.09308724	0.17525725	0.19689363	0.18093522
a24	0.101146184	0.09386902	0.06466102	0.36271638	0.2268393	0.1507681
a31	0.094831035	0.092728235	0.0785064	0.2766029	0.18111967	0.27621174
a15	0.060088467	0.07192758	0.05158637	0.073520385	0.1640071	0.5788701
a46	0.0689158	0.10148468	0.1173708	0.088497296	0.12911607	0.4946153
a31	0.083528094	0.094836295	0.11682286	0.12459472	0.11467757	0.46554047
a0	0.01617112	0.075798735	0.04697805	0.04414448	0.29839674	0.5185109
a41	0.008603548	0.061721344	0.028535252	0.04360622	0.054067146	0.8034665
</S>	0.0050040833	0.026483523	0.016215162	0.0072704796	0.012623685	0.932403
