 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
a20	0.04413209	0.2140186	0.075371645	0.063762374	0.06231267	0.041707814	0.040528517	0.03480795	0.032979425	0.025056476	0.022051886	0.009140207	0.007842204	0.012186667	0.03682179	0.034409698	0.011383419	0.021856455	0.03475098	0.038038827	0.033175636	0.10366471
a31	0.11713714	0.26810074	0.1795148	0.047796704	0.030412717	0.0320033	0.051497716	0.021090114	0.022014564	0.016600814	0.016683495	0.014453484	0.01380929	0.020994507	0.031795397	0.0224119	0.013745076	0.014393741	0.014741692	0.014788892	0.017235113	0.018778807
a11	0.17993681	0.2250262	0.20619024	0.091283284	0.026221605	0.025911493	0.026787868	0.020880975	0.026528573	0.014565403	0.018460948	0.0063583725	0.0053085308	0.017469753	0.029981446	0.024354957	0.005607731	0.006028282	0.008684773	0.011528424	0.011209361	0.0116749825
a5	0.11348288	0.1266078	0.13550259	0.13381782	0.013954753	0.0113799805	0.010744531	0.010861189	0.01104015	0.011870994	0.013252221	0.01394316	0.0064869984	0.022305269	0.027146447	0.012688717	0.008994279	0.005210565	0.016238583	0.021291988	0.05891499	0.21426402
a37	0.08026995	0.09154396	0.089367345	0.07283951	0.0127792945	0.008074272	0.0047569466	0.008516915	0.006853255	0.011337198	0.013822147	0.01482124	0.012299364	0.101925045	0.031848263	0.014361013	0.014172104	0.013477633	0.042398416	0.090254374	0.109958574	0.15432319
a31	0.045317978	0.04744517	0.046460733	0.03958959	0.010296557	0.010218514	0.008218507	0.01557546	0.010519471	0.015611046	0.02296221	0.021127284	0.014432061	0.09038778	0.02883547	0.023844955	0.029339628	0.027559275	0.09940192	0.09537319	0.11069443	0.18678884
a37	0.019905088	0.08666889	0.04056236	0.013229514	0.011775267	0.0074914424	0.005281112	0.011052005	0.009760192	0.013403023	0.01315361	0.013942602	0.015116841	0.05302487	0.021075822	0.014631766	0.022467116	0.038571253	0.06775143	0.0894099	0.27914786	0.15257803
a18	0.01903154	0.03200897	0.025284776	0.008056532	0.0054272185	0.005061773	0.0032599021	0.0052182353	0.003330087	0.0069358177	0.00795155	0.009674546	0.009246828	0.05942719	0.029280212	0.01267923	0.016549582	0.054598667	0.1430638	0.14183125	0.24108939	0.16099294
a24	0.033419877	0.04700889	0.041291136	0.015695143	0.0063148327	0.0052435133	0.0032299082	0.004768922	0.0032106754	0.008496104	0.008922813	0.015196151	0.012226776	0.03843303	0.046601225	0.013204642	0.017699188	0.038688425	0.098186076	0.07589505	0.16949852	0.29676908
a34	0.05833926	0.0838468	0.07425587	0.029318977	0.011144725	0.007685564	0.0045206193	0.007728777	0.0061478587	0.010930537	0.012690772	0.0148760285	0.0089815175	0.035839513	0.047649566	0.014502418	0.014124393	0.026794603	0.06393536	0.03323894	0.15058322	0.2828647
a46	0.010105652	0.11509356	0.021940675	0.011281397	0.0142385615	0.009634336	0.0074132783	0.013165638	0.012380853	0.014680571	0.0145583805	0.014316596	0.0123041645	0.012010396	0.022112042	0.015409936	0.0201669	0.023091441	0.102340326	0.065207146	0.17726396	0.29128423
a38	0.026593128	0.0422065	0.033576995	0.014904146	0.015782269	0.013839395	0.010103757	0.0081236	0.009724093	0.008144373	0.018007526	0.015532229	0.0067563797	0.01895358	0.032953013	0.01627118	0.007227846	0.032271758	0.13546121	0.08796642	0.2899216	0.15567903
