 	devo	pulire	l	albero	</S>
a39	0.2265106	0.13489053	0.09984698	0.102323234	0.43642873
a31	0.42909333	0.0856696	0.13793327	0.16283453	0.18446924
a35	0.46693793	0.11763396	0.13506332	0.13075455	0.14961022
a31	0.38328004	0.16429178	0.19545054	0.11435035	0.14262727
a20	0.23803136	0.33935386	0.2795886	0.09339084	0.049635276
a31	0.20398653	0.37654006	0.17002463	0.15069026	0.09875857
a37	0.13356401	0.21182592	0.19280459	0.22765395	0.23415154
a1	0.08614272	0.1121028	0.09101366	0.1926616	0.5180792
a20	0.06790513	0.04749768	0.038539544	0.20721	0.6388477
a31	0.10629343	0.07640962	0.047184173	0.28405207	0.48606077
a39	0.037271734	0.08042957	0.11391611	0.13672014	0.63166237
a10	0.015961705	0.023878077	0.03777849	0.22754817	0.6948336
a29	0.027897794	0.026466424	0.05643695	0.38509354	0.50410527
a46	0.03403562	0.03285389	0.08817023	0.44248644	0.40245384
a31	0.04498465	0.04933952	0.13361324	0.45930102	0.3127615
a20	0.014430419	0.06257087	0.11046985	0.107026696	0.70550215
a13	0.004355896	0.026795069	0.061352823	0.18984354	0.7176527
a20	0.002586486	0.027898805	0.21807642	0.2276843	0.52375394
a31	0.002885929	0.0456467	0.42183018	0.23212177	0.29751542
a11	0.0038992502	0.024990598	0.03920423	0.09076635	0.8411396
a17	0.0016380775	0.018684713	0.105745144	0.32580653	0.54812557
a20	0.0010174552	0.022719663	0.22067456	0.31465837	0.44092998
</S>	0.0016147473	0.04186886	0.2853061	0.31386086	0.35734943
