 	non	ha	che	li	aspettiamo	</S>
a46	0.052661702	0.07230974	0.20878111	0.3055248	0.26166767	0.099054955
a31	0.21307702	0.4064122	0.28332776	0.04974709	0.030118454	0.017317455
a15	0.25883415	0.30218053	0.27104703	0.12328174	0.03756008	0.0070964596
a31	0.3415211	0.3049595	0.1553066	0.09183129	0.101223804	0.0051577664
a28	0.25732958	0.23167095	0.19727531	0.09086922	0.20645213	0.016402792
a20	0.18303746	0.14000584	0.13728683	0.13272657	0.39599976	0.010943477
a11	0.12197243	0.10196446	0.10130165	0.099682465	0.55194634	0.023132607
a31	0.13306914	0.11114873	0.11005398	0.10701023	0.51948607	0.019231766
a11	0.3421179	0.16396827	0.09969881	0.11214294	0.19739375	0.08467835
a31	0.27673987	0.09667022	0.079094276	0.08229593	0.3663182	0.09888151
a46	0.21383882	0.2502214	0.101778276	0.101613976	0.04705469	0.2854928
a31	0.22038928	0.1369572	0.07039795	0.064236686	0.07145623	0.43656266
a11	0.10840961	0.34051973	0.050498035	0.023032466	0.048343565	0.42919663
a31	0.07318261	0.14247026	0.036958076	0.014923134	0.020115312	0.7123506
a11	0.11154199	0.20496257	0.10050202	0.06025732	0.13300167	0.38973442
a46	0.027992165	0.1104271	0.031995483	0.009681828	0.018172337	0.8017311
</S>	0.024702795	0.08506709	0.011846929	0.004424871	0.015023684	0.85893464
