 	sto	ancora	cucinando	</S>
a20	0.35851943	0.1693051	0.17803249	0.29414302
a31	0.52941304	0.18567982	0.1453509	0.13955626
a37	0.7430926	0.14883126	0.05190329	0.056172844
a20	0.76571167	0.19385436	0.029153662	0.011280399
a31	0.5326172	0.22569352	0.14313373	0.09855548
a30	0.52167964	0.1760687	0.18712033	0.115131326
a46	0.30905673	0.20631407	0.18546025	0.2991689
a31	0.60892826	0.107602194	0.043084133	0.24038543
a39	0.2362787	0.042834215	0.21866216	0.5022249
a15	0.10124447	0.015739655	0.091724	0.7912919
a20	0.3147825	0.045754828	0.16871457	0.4707481
a22	0.16950487	0.052256037	0.105367154	0.67287195
a31	0.26187202	0.12777935	0.100481495	0.50986713
a46	0.029005978	0.05390664	0.11327002	0.80381733
</S>	0.004994153	0.011561681	0.10813209	0.87531215
