 	non	ho	finito	lo	posso	finire	di	scrivere	</S>
a31	0.08231082	0.07408749	0.07206211	0.07561298	0.16817535	0.18382795	0.08310992	0.07031963	0.19049373
a24	0.08550717	0.0854094	0.08253644	0.09876754	0.112200044	0.13672031	0.13693097	0.08098838	0.1809397
a28	0.10602724	0.09989767	0.03120378	0.071584836	0.11648257	0.09103533	0.04801187	0.24766822	0.18808858
a31	0.082676984	0.08005364	0.022034101	0.03392705	0.09047844	0.07267633	0.039879706	0.47059336	0.1076804
a8	0.055146657	0.06305874	0.00916877	0.035275653	0.047774885	0.036915053	0.026726674	0.21163942	0.51429415
a0	0.032965	0.031226808	0.0035028409	0.012162039	0.05011521	0.044681024	0.013581915	0.09733147	0.7144337
a31	0.03343947	0.031607784	0.010643099	0.037103243	0.11252225	0.16114938	0.07995693	0.05327397	0.48030382
a39	0.046669945	0.044275325	0.006536492	0.0099192215	0.028702622	0.027425956	0.026286643	0.081209935	0.72897387
a31	0.022253424	0.023418766	0.005754874	0.005968591	0.018821213	0.027259069	0.08059259	0.274439	0.54149246
a8	0.015949572	0.019963365	0.0074809175	0.00945476	0.011949138	0.009547143	0.106579915	0.09639864	0.7226765
a31	0.003196026	0.0055339625	0.0013675244	0.0037484483	0.013507431	0.0057498217	0.13288616	0.55192	0.2820906
a24	0.009782211	0.020747766	0.009508912	0.011184721	0.009797472	0.008384442	0.18433422	0.18290189	0.56335837
a46	0.00416477	0.00958257	0.0018943124	0.007414744	0.0138415415	0.009325199	0.13021556	0.22840595	0.59515536
a31	0.0018232341	0.0088731805	0.0012120435	0.006594621	0.019860135	0.011655058	0.2912095	0.30534604	0.3534262
a1	0.007370151	0.015120867	0.004481342	0.016065234	0.07437921	0.04790896	0.18990582	0.25655556	0.3882129
a31	0.0025951187	0.007303441	0.0018907568	0.008836407	0.02696793	0.019588187	0.40135902	0.29621702	0.23524208
</S>	0.008293514	0.013468984	0.0037767303	0.015177775	0.10899195	0.05598387	0.16222554	0.3259649	0.30611676
