 	essendosi	vestito	</S>
a46	0.5315981	0.2035749	0.264827
a31	0.35152835	0.31801558	0.33045614
a18	0.44209632	0.31732124	0.24058247
a31	0.7709069	0.19807774	0.031015402
a20	0.2537056	0.68000704	0.066287406
a46	0.34449938	0.58550936	0.06999128
a20	0.38937673	0.5123281	0.09829522
a31	0.2628219	0.2807282	0.45644996
a0	0.15411572	0.65765876	0.18822548
a46	0.04057902	0.64323246	0.31618857
a35	0.0736236	0.66728663	0.25908977
a46	0.061184175	0.58667165	0.35214415
a24	0.14846428	0.70811725	0.14341857
a46	0.04345893	0.83592737	0.120613754
a24	0.04982449	0.8837565	0.06641892
a31	0.007956238	0.77910346	0.21294023
</S>	0.017812064	0.4097624	0.57242554
