 	non	ho	cosa	a	fare	</S>
a8	0.15594012	0.17347378	0.2852779	0.108040094	0.11407291	0.16319521
a31	0.2062393	0.35162863	0.17950632	0.10731679	0.10452815	0.05078083
a37	0.301893	0.3382503	0.13472192	0.07588641	0.10312222	0.0461261
a11	0.26171413	0.2630409	0.24850176	0.10137227	0.04782952	0.07754141
a13	0.2589734	0.24506871	0.15657714	0.11408483	0.060412884	0.16488312
a20	0.16420646	0.20440471	0.19499657	0.17807275	0.12430765	0.13401179
a31	0.074265905	0.11406102	0.12727873	0.18743294	0.23087257	0.2660888
a8	0.028044067	0.055693027	0.046252053	0.03900616	0.47952232	0.3514824
a31	0.039158896	0.18415102	0.21972305	0.15647581	0.14304203	0.25744918
a46	0.0057091936	0.027675763	0.048422776	0.03254061	0.12671897	0.7589327
a8	0.016868802	0.024151044	0.030098947	0.049755093	0.3399777	0.5391484
</S>	0.0041154968	0.009536858	0.016345998	0.030330785	0.3428029	0.596868
