 	questo	muro	vuole	uno	specchio	</S>
a31	0.26609623	0.17589404	0.18069483	0.11936668	0.09949664	0.15845157
a24	0.538909	0.11300698	0.14885186	0.09959399	0.05014207	0.049496055
a31	0.29862884	0.24143699	0.18618803	0.082669996	0.08587892	0.105197296
a41	0.210894	0.18355171	0.1592852	0.0753992	0.23130998	0.13955986
a39	0.054643437	0.054775715	0.059048016	0.06595865	0.57165325	0.19392096
a43	0.11283482	0.115137994	0.16040994	0.25795862	0.21635091	0.13730776
a24	0.34603316	0.17027454	0.13908072	0.15754446	0.08326494	0.10380214
a37	0.225786	0.21577074	0.22599302	0.13469058	0.094820455	0.10293919
a20	0.11409602	0.1166188	0.13765697	0.21805634	0.21915172	0.1944201
a41	0.056477662	0.064862646	0.099907495	0.1271163	0.29453397	0.35710198
a18	0.036596064	0.043238986	0.060864657	0.09268766	0.36060616	0.40600652
a31	0.03320885	0.0396156	0.046951976	0.0890914	0.34244022	0.44869193
a11	0.043843374	0.060502656	0.030919619	0.05591372	0.21228328	0.5965373
a31	0.016849715	0.026141876	0.021863071	0.049882226	0.20716012	0.67810297
a29	0.16621831	0.13697517	0.065775394	0.08609342	0.19372797	0.35120976
a7	0.027147135	0.04275404	0.024272647	0.13214013	0.29196092	0.4817252
a31	0.0063887653	0.02044921	0.010235101	0.045169577	0.3383549	0.57940245
a37	0.24310225	0.03248445	0.022629278	0.048549496	0.10093401	0.5523006
a31	0.075694144	0.06977179	0.054061428	0.087467566	0.11827727	0.59472775
a20	0.13809592	0.014517895	0.012540276	0.080296025	0.1518549	0.602695
</S>	0.09836788	0.03509401	0.06944259	0.07346362	0.11171224	0.6119197
