 	sicuramente	stanno	ancora	svegli	</S>
a17	0.15014194	0.20167862	0.13746342	0.1668362	0.34387976
a24	0.31438604	0.18149807	0.24460174	0.12542209	0.13409206
a28	0.27997127	0.18861327	0.09271896	0.13358764	0.30510888
a37	0.19282135	0.16241804	0.08350909	0.3266498	0.23460172
a18	0.32564524	0.18709646	0.09026445	0.19694154	0.20005234
a39	0.39173108	0.24998304	0.111485	0.11324349	0.13355735
a31	0.3720779	0.28743622	0.10750553	0.10147929	0.13150115
a39	0.1922931	0.2835289	0.17150792	0.1192075	0.23346266
a31	0.26737213	0.34648538	0.14193743	0.07879214	0.16541284
a46	0.15966265	0.23465063	0.27392784	0.21327578	0.11848315
a31	0.17417045	0.18071377	0.26362497	0.24641603	0.13507473
a18	0.27605087	0.16047588	0.3207779	0.18593511	0.05676029
a31	0.18766999	0.17323959	0.3209388	0.24374546	0.07440622
a39	0.19192837	0.10895625	0.20326652	0.3768662	0.118982695
a31	0.17488025	0.15764475	0.38008437	0.16797175	0.119418904
a41	0.1384621	0.10790451	0.1683487	0.38597336	0.19931129
a39	0.10287522	0.12219864	0.28049952	0.29107228	0.20335427
a28	0.1289896	0.12655243	0.2511531	0.31971446	0.17359039
a20	0.12647195	0.13413773	0.24316964	0.31447804	0.18174262
a31	0.09757276	0.14459294	0.25592583	0.31885266	0.18305579
a39	0.1440599	0.147415	0.11650942	0.4066087	0.18540698
a35	0.09165645	0.16867626	0.21758164	0.29873052	0.2233551
a31	0.1216468	0.18888222	0.13418894	0.30797842	0.2473036
a11	0.1167576	0.08018408	0.10322899	0.23796743	0.46186188
a18	0.09942198	0.15470341	0.07520349	0.24702464	0.42364645
a24	0.11444543	0.116870664	0.10931206	0.3526514	0.3067204
a31	0.14415468	0.08690871	0.1162935	0.32717183	0.32547128
a18	0.053134784	0.04170979	0.05709595	0.17006111	0.67799836
a31	0.07783163	0.08475343	0.06622372	0.22584343	0.5453478
a18	0.048665944	0.03259754	0.08426257	0.2662516	0.56822234
a15	0.036153644	0.0392182	0.030906042	0.0792463	0.8144759
a8	0.06771846	0.03477218	0.06568026	0.15974502	0.6720841
a39	0.039801605	0.055967554	0.12553105	0.46470183	0.3139979
a31	0.037669778	0.037733987	0.07084761	0.31934327	0.53440535
</S>	0.018988198	0.022461696	0.03555377	0.21192704	0.7110693
